kepid,kepmag,nkoi,ntce,st_quarters,dutycycle,dataspan,st_delivname
10743597,15.488,4,1,11111101110111011,0.6968,1458.9310,q1_q17_dr25_stellar
10847907,13.390,1,7,11111110111011101,0.6962,1458.9310,q1_q17_dr25_stellar
10749059,15.707,1,1,00011101110111011,0.6649,1238.0020,q1_q17_dr25_stellar
10777591,13.328,1,1,11111111111111111,0.8729,1458.9310,q1_q17_dr25_stellar
10794974,13.224,1,1,11111111111111111,0.8735,1458.9310,q1_q17_dr25_stellar
10727668,16.321,1,2,00000000000001111,0.8200,316.0660,q1_q17_dr25_stellar
10733174,13.608,1,3,11111111111111111,0.8729,1458.9310,q1_q17_dr25_stellar
10722485,13.858,1,1,11111111111111111,0.8735,1458.9310,q1_q17_dr25_stellar
10845188,13.867,1,1,11111111111111111,0.8733,1458.9310,q1_q17_dr25_stellar
10971944,13.515,1,1,11111111111111111,0.8734,1458.9310,q1_q17_dr25_stellar
10976412,12.917,1,0,11111111111111111,0.8737,1458.9310,q1_q17_dr25_stellar
10965008,14.499,1,1,11111110111011101,0.6969,1458.9310,q1_q17_dr25_stellar
10866969,15.174,1,0,11111111111111111,0.8735,1458.9310,q1_q17_dr25_stellar
10982373,11.696,1,7,11111111111111111,0.8728,1458.9310,q1_q17_dr25_stellar
10960993,11.397,1,3,11111111111111111,0.8737,1458.9310,q1_q17_dr25_stellar
10916600,13.383,2,3,11111111111111111,0.8737,1458.9310,q1_q17_dr25_stellar
10933306,14.753,1,1,11111101110111011,0.6975,1458.9310,q1_q17_dr25_stellar
10920813,13.756,1,2,11111111111111111,0.8696,1458.9310,q1_q17_dr25_stellar
10991114,14.108,1,1,11111101110111011,0.6974,1458.9310,q1_q17_dr25_stellar
10987439,10.810,1,2,10001000110011001,0.3359,1458.9310,q1_q17_dr25_stellar
10917433,12.419,1,1,11111111111111111,0.8735,1458.9310,q1_q17_dr25_stellar
10875007,14.718,2,2,11111101110111011,0.6973,1458.9310,q1_q17_dr25_stellar
11072982,13.581,1,0,11111110111011101,0.6972,1458.9310,q1_q17_dr25_stellar
11097752,12.117,1,0,11111101110111011,0.6980,1458.9310,q1_q17_dr25_stellar
11122894,14.232,3,3,11111111111111111,0.8735,1458.9310,q1_q17_dr25_stellar
11135119,13.588,1,1,11111111111111111,0.8736,1458.9310,q1_q17_dr25_stellar
11080702,14.219,1,0,11111111111111111,0.8735,1458.9310,q1_q17_dr25_stellar
11124703,15.319,1,0,11111110111011101,0.6971,1458.9310,q1_q17_dr25_stellar
11135694,15.451,2,2,11111111111111111,0.8735,1458.9310,q1_q17_dr25_stellar
11018648,15.082,2,2,11111110111011101,0.6969,1458.9310,q1_q17_dr25_stellar
11125797,13.747,2,2,11111110111011101,0.6971,1458.9310,q1_q17_dr25_stellar
11037335,14.201,2,2,11111111111111111,0.8734,1458.9310,q1_q17_dr25_stellar
11075429,12.768,1,8,11111110111011101,0.6970,1458.9310,q1_q17_dr25_stellar
11100383,13.524,1,1,11111101110111011,0.6976,1458.9310,q1_q17_dr25_stellar
11127479,11.126,1,1,11111110111011101,0.6970,1458.9310,q1_q17_dr25_stellar
11038580,13.846,1,0,00110011001100110,0.4749,1297.1270,q1_q17_dr25_stellar
11296205,14.440,1,1,11111111111111111,0.8736,1458.9310,q1_q17_dr25_stellar
11285625,10.143,1,3,11111110111011101,0.6665,1458.9310,q1_q17_dr25_stellar
11296437,11.741,2,1,11111111111111111,0.8733,1458.9310,q1_q17_dr25_stellar
11250867,13.387,1,3,11111111111111111,0.8609,1458.9310,q1_q17_dr25_stellar
11255761,14.917,1,1,11111111111111111,0.8735,1458.9310,q1_q17_dr25_stellar
11285870,14.879,1,1,11111110111011101,0.6969,1458.9310,q1_q17_dr25_stellar
11145391,14.645,1,0,11111111111111111,0.8738,1458.9310,q1_q17_dr25_stellar
11251991,11.083,1,0,11111111111111111,0.8736,1458.9310,q1_q17_dr25_stellar
11191364,15.784,1,0,00011111111111111,0.8724,1238.0020,q1_q17_dr25_stellar
11294883,13.776,1,0,11111111111111111,0.8737,1458.9310,q1_q17_dr25_stellar
11295085,12.321,1,5,11111111111111111,0.8739,1458.9310,q1_q17_dr25_stellar
11228612,14.647,1,3,11111111111111111,0.8617,1458.9310,q1_q17_dr25_stellar
11237332,12.506,1,0,11111110111011101,0.6968,1458.9310,q1_q17_dr25_stellar
11249624,15.743,1,3,11111111111111111,0.8712,1458.9310,q1_q17_dr25_stellar
11284772,15.142,2,2,11111110111011101,0.6970,1458.9310,q1_q17_dr25_stellar
11182213,15.242,1,0,11111110111011101,0.6969,1458.9310,q1_q17_dr25_stellar
11193447,13.397,1,0,11111111111111111,0.8614,1458.9310,q1_q17_dr25_stellar
11234677,13.296,1,2,11111110111011101,0.6958,1458.9310,q1_q17_dr25_stellar
11305417,12.752,1,0,11111111111111111,0.8735,1458.9310,q1_q17_dr25_stellar
11457664,14.396,1,0,11111111111111111,0.8736,1458.9310,q1_q17_dr25_stellar
11342416,12.476,1,1,11111110111011101,0.6968,1458.9310,q1_q17_dr25_stellar
11350389,15.724,1,3,11111111111111111,0.8593,1458.9310,q1_q17_dr25_stellar
11342550,15.305,1,1,11111110111011101,0.6969,1458.9310,q1_q17_dr25_stellar
11392618,12.037,1,1,11111110111011101,0.6970,1458.9310,q1_q17_dr25_stellar
11401755,11.866,2,3,11111111111111111,0.8737,1458.9310,q1_q17_dr25_stellar
11450414,14.513,3,3,11111111111111111,0.8734,1458.9310,q1_q17_dr25_stellar
11348997,15.535,1,1,00011111111111111,0.8724,1238.0020,q1_q17_dr25_stellar
11462341,14.275,1,1,11111111111111111,0.8733,1458.9310,q1_q17_dr25_stellar
11304987,15.417,1,1,11111111111111111,0.8730,1458.9310,q1_q17_dr25_stellar
11359879,13.758,1,1,11111111111111111,0.8735,1458.9310,q1_q17_dr25_stellar
11360571,13.754,1,1,11111111111111111,0.8733,1458.9310,q1_q17_dr25_stellar
11403389,14.976,1,1,11111111111111111,0.8737,1458.9310,q1_q17_dr25_stellar
11413812,14.377,1,1,11111111111111111,0.8733,1458.9310,q1_q17_dr25_stellar
11599937,15.013,1,1,11111110111011101,0.6971,1458.9310,q1_q17_dr25_stellar
11502218,6.974,1,2,11111111111111111,0.8736,1458.9310,q1_q17_dr25_stellar
11519134,13.061,1,1,11111111111111111,0.8736,1458.9310,q1_q17_dr25_stellar
11611600,15.127,1,1,11111111111111111,0.8734,1458.9310,q1_q17_dr25_stellar
11497958,15.921,5,5,11111110111011101,0.6971,1458.9310,q1_q17_dr25_stellar
11509504,15.180,1,1,11111111111111111,0.8734,1458.9310,q1_q17_dr25_stellar
11465658,15.327,1,0,11111111111111111,0.8736,1458.9310,q1_q17_dr25_stellar
11465813,15.207,1,1,11100011111111111,0.6987,1458.9310,q1_q17_dr25_stellar
11506654,14.390,1,1,11111111111111111,0.8736,1458.9310,q1_q17_dr25_stellar
11614808,13.086,1,0,11111111111111111,0.8734,1458.9310,q1_q17_dr25_stellar
11618569,14.199,1,1,11111111111111111,0.8731,1458.9310,q1_q17_dr25_stellar
11618601,15.400,2,2,11111111111111111,0.8735,1458.9310,q1_q17_dr25_stellar
11499263,15.267,1,1,11111110111011101,0.6966,1458.9310,q1_q17_dr25_stellar
11513441,13.982,1,1,11111111111111111,0.8735,1458.9310,q1_q17_dr25_stellar
11569475,13.449,1,2,11111111111111111,0.8732,1458.9310,q1_q17_dr25_stellar
11517719,14.152,1,6,11111111111111111,0.8303,1458.9310,q1_q17_dr25_stellar
11501492,15.155,1,1,11111111111111111,0.8736,1458.9310,q1_q17_dr25_stellar
11804465,13.438,1,1,11111110111011101,0.6940,1458.9310,q1_q17_dr25_stellar
11752908,15.554,1,1,00011110111011101,0.6643,1238.0020,q1_q17_dr25_stellar
11670125,15.975,1,1,01111111111111111,0.8742,1420.6720,q1_q17_dr25_stellar
11658036,13.964,1,1,11111111111111111,0.8737,1458.9310,q1_q17_dr25_stellar
11774991,12.879,2,2,11111111111111111,0.8726,1458.9310,q1_q17_dr25_stellar
11666881,13.273,1,1,11111111111111111,0.8736,1458.9310,q1_q17_dr25_stellar
11724210,14.737,1,2,11111111111111111,0.8725,1458.9310,q1_q17_dr25_stellar
11655826,15.308,1,1,11111111111111111,0.8736,1458.9310,q1_q17_dr25_stellar
11671579,14.435,1,1,11111111111111111,0.8735,1458.9310,q1_q17_dr25_stellar
11622985,15.419,1,1,11111111111111111,0.8736,1458.9310,q1_q17_dr25_stellar
11651105,14.756,1,1,11111110111011101,0.6970,1458.9310,q1_q17_dr25_stellar
11651240,12.979,1,0,11111110111011101,0.6972,1458.9310,q1_q17_dr25_stellar
11672354,15.591,1,1,01111111111111111,0.8743,1420.6720,q1_q17_dr25_stellar
11760959,15.305,1,4,00011111111111111,0.8726,1238.0020,q1_q17_dr25_stellar
11768970,12.658,1,2,11111111111111111,0.8734,1458.9310,q1_q17_dr25_stellar
11709006,8.777,1,5,11111111111111111,0.8373,1458.9310,q1_q17_dr25_stellar
11656928,12.914,3,2,11111111111111111,0.8736,1458.9310,q1_q17_dr25_stellar
11757451,15.891,1,1,11111111111111111,0.8738,1458.9310,q1_q17_dr25_stellar
11763910,13.725,1,1,11111111111111111,0.8733,1458.9310,q1_q17_dr25_stellar
11673674,13.652,1,2,11111111111111111,0.8733,1458.9310,q1_q17_dr25_stellar
11826400,12.472,1,2,11111111111111111,0.8633,1458.9310,q1_q17_dr25_stellar
11858979,14.077,1,1,00000000010000000,0.9508,92.5820,q1_q17_dr25_stellar
11873171,15.588,1,1,11111111111111111,0.8738,1458.9310,q1_q17_dr25_stellar
11970988,13.506,1,1,11111111111111111,0.8734,1458.9310,q1_q17_dr25_stellar
11923284,13.263,1,1,11111111111111111,0.8734,1458.9310,q1_q17_dr25_stellar
11960862,15.312,1,1,11111111111111111,0.8737,1458.9310,q1_q17_dr25_stellar
11906217,14.430,1,3,11111110111011101,0.6947,1458.9310,q1_q17_dr25_stellar
12116380,14.822,1,1,11111111111111111,0.8734,1458.9310,q1_q17_dr25_stellar
12021387,10.656,1,1,11111111111111111,0.8726,1458.9310,q1_q17_dr25_stellar
12021625,15.688,1,1,11111111111111111,0.8737,1458.9310,q1_q17_dr25_stellar
12021811,15.962,1,2,11111111111111111,0.8731,1458.9310,q1_q17_dr25_stellar
12069414,15.314,1,1,00011111111111111,0.8722,1238.0020,q1_q17_dr25_stellar
12021943,13.723,1,1,11111111111111111,0.8737,1458.9310,q1_q17_dr25_stellar
12110901,14.451,1,0,11111111111111111,0.8735,1458.9310,q1_q17_dr25_stellar
12121470,14.688,1,1,11111111111111111,0.8733,1458.9310,q1_q17_dr25_stellar
12023078,12.650,1,1,11111111111111111,0.8733,1458.9310,q1_q17_dr25_stellar
12121570,14.447,1,1,11111111111111111,0.8736,1458.9310,q1_q17_dr25_stellar
12108293,14.837,1,1,11111111111111111,0.8737,1458.9310,q1_q17_dr25_stellar
12061096,15.612,1,0,11111111111111111,0.8737,1458.9310,q1_q17_dr25_stellar
12004656,15.521,1,1,11111110111011101,0.6970,1458.9310,q1_q17_dr25_stellar
12004680,15.301,1,1,11111110111011101,0.6969,1458.9310,q1_q17_dr25_stellar
12004689,15.894,1,0,01111110111011101,0.6927,1420.6720,q1_q17_dr25_stellar
12071775,15.025,1,0,11111111111111111,0.8735,1458.9310,q1_q17_dr25_stellar
12164770,14.651,1,2,11111111111111111,0.8724,1458.9310,q1_q17_dr25_stellar
12156805,12.235,1,0,11111111111111111,0.8733,1458.9310,q1_q17_dr25_stellar
12058147,13.380,1,1,11111111111111111,0.8734,1458.9310,q1_q17_dr25_stellar
12204137,15.836,1,1,01111111111111111,0.8746,1420.6720,q1_q17_dr25_stellar
12417486,14.932,1,1,11111111111111111,0.8736,1458.9310,q1_q17_dr25_stellar
12253769,13.550,1,1,11111111111111111,0.8734,1458.9310,q1_q17_dr25_stellar
12404086,15.234,1,1,11111111111111111,0.8736,1458.9310,q1_q17_dr25_stellar
12314973,11.684,3,3,11111111111111111,0.8735,1458.9310,q1_q17_dr25_stellar
12356617,13.293,1,0,11111111111111111,0.8729,1458.9310,q1_q17_dr25_stellar
12405436,15.001,1,0,00011111111111111,0.8718,1238.0020,q1_q17_dr25_stellar
12356914,15.529,1,3,11111111111111111,0.8603,1458.9310,q1_q17_dr25_stellar
12405950,12.305,1,7,00111011101110111,0.6807,1330.1750,q1_q17_dr25_stellar
12365015,14.343,1,2,11111111111111111,0.8017,1458.9310,q1_q17_dr25_stellar
12458605,13.515,1,1,11111111111111111,0.8733,1458.9310,q1_q17_dr25_stellar
12352520,15.737,1,1,11111111111111111,0.8736,1458.9310,q1_q17_dr25_stellar
12306699,15.341,1,2,11111111111111111,0.8738,1458.9310,q1_q17_dr25_stellar
12506417,12.768,1,0,11111111111111111,0.8736,1458.9310,q1_q17_dr25_stellar
12835139,13.329,1,0,11111111111111111,0.8736,1458.9310,q1_q17_dr25_stellar
1718958,12.801,1,1,11111111111111111,0.8734,1458.9310,q1_q17_dr25_stellar
12506770,15.988,1,1,11111111111111111,0.8737,1458.9310,q1_q17_dr25_stellar
12736658,13.683,1,2,11111111111111111,0.8730,1458.9310,q1_q17_dr25_stellar
1721157,15.144,1,1,11111111111111111,0.8733,1458.9310,q1_q17_dr25_stellar
1432214,15.661,1,2,01111111111111111,0.8744,1420.6720,q1_q17_dr25_stellar
1995712,14.936,1,1,11111111111111111,0.8735,1458.9310,q1_q17_dr25_stellar
1724719,13.960,2,2,11111111111111111,0.8733,1458.9310,q1_q17_dr25_stellar
12505590,15.290,1,0,11111111111111111,0.8736,1458.9310,q1_q17_dr25_stellar
1717528,14.574,1,1,11111111111111111,0.8734,1458.9310,q1_q17_dr25_stellar
2446623,15.620,1,1,01111111111111111,0.8744,1420.6720,q1_q17_dr25_stellar
2579043,14.959,1,1,11111111111111111,0.8737,1458.9310,q1_q17_dr25_stellar
2441728,13.098,1,1,11111111111111111,0.8735,1458.9310,q1_q17_dr25_stellar
2569488,14.161,1,1,11111111111111111,0.8732,1458.9310,q1_q17_dr25_stellar
2712825,11.871,1,1,11111111111111111,0.8734,1458.9310,q1_q17_dr25_stellar
2308957,14.520,1,1,11111111111111111,0.7870,1458.9310,q1_q17_dr25_stellar
2437783,17.300,1,2,00000111100000000,0.8792,365.6880,q1_q17_dr25_stellar
2707916,16.341,1,1,00000000011111111,0.8603,683.4300,q1_q17_dr25_stellar
