koi_id,npl,lcq_count,scq_count,total_count,runtime_score,bad_download
K00476,1,17,0,17,82,0
K00477,1,14,0,14,75,0
K00478,1,14,0,14,112,0
K00479,1,17,0,17,44,0
K00480,1,17,0,17,351,0
K00481,3,11,6,17,13628,0
K00483,1,14,0,14,259,0
K00484,1,17,0,17,87,0
K00486,1,17,0,17,68,0
K00487,1,17,0,17,197,0
K00488,1,17,0,17,161,0
K00490,4,8,9,17,10089,0
K00492,2,14,0,14,45,0
K00494,1,14,0,14,48,0
K00496,1,15,2,17,4120,0
K00497,2,14,0,14,375,0
K00499,1,14,0,14,128,0
K00500,5,5,9,14,43980,0
K00501,1,17,0,17,60,0
K00503,1,13,0,13,140,0
K00504,1,14,0,14,30,0
K00505,5,11,2,13,4232,0
K00507,1,17,0,17,81,0
K00508,2,6,7,13,3555,0
K00509,3,14,3,17,3248,0
K00510,4,11,2,13,3735,0
K00511,2,17,0,17,542,0
K00512,1,17,0,17,232,0
K00513,1,17,0,17,42,0
K00517,1,17,0,17,549,0
K00518,3,12,5,17,1410,0
K00519,2,17,0,17,170,0
K00520,4,9,8,17,7074,0
K00521,2,17,0,17,287,0
K00522,1,15,2,17,516,0
K00523,2,11,6,17,786,0
K00524,1,8,9,17,5380,0
K00525,1,15,2,17,577,0
K00526,1,17,0,17,717,0
K00528,3,13,4,17,1916,0
K00530,1,17,0,17,138,0
K00531,1,15,2,17,1804,0
K00532,1,17,0,17,357,0
K00533,2,17,0,17,519,0
K00534,2,13,1,14,1990,0
K00535,1,14,0,14,212,0
K00536,1,14,0,14,15,0
K00537,1,14,0,14,441,0
K00538,1,17,0,17,71,0
K00541,1,17,0,17,110,0
K00542,2,17,0,17,145,0
K00543,2,15,2,17,3670,0
K00546,2,16,1,17,611,0
K00547,3,17,0,17,386,0
K00548,2,17,0,17,318,0
K00550,1,14,0,14,95,0
K00551,2,13,1,14,995,0
K00554,1,17,0,17,413,0
K00555,2,11,6,17,4775,0
K00557,1,13,0,13,73,0
K00558,1,17,0,17,164,0
K00560,1,13,0,13,48,0
K00561,1,17,0,17,280,0
K00563,1,16,1,17,265,0
K00564,3,15,2,17,1433,0
K00566,3,11,0,11,129,0
K00567,3,7,10,17,4821,0
K00568,2,12,5,17,10348,0
K00569,2,17,0,17,997,0
K00571,5,8,9,17,12853,0
K00572,2,17,0,17,447,0
K00573,2,17,0,17,983,0
K00574,2,16,1,17,595,0
K00575,1,17,0,17,62,0
K00577,2,8,0,8,1131,0
K00578,1,17,0,17,235,0
K00579,2,17,0,17,1149,0
K00580,1,17,0,17,231,0
K00581,2,17,0,17,224,0
K00582,3,17,0,17,491,0
K00583,1,17,0,17,620,0
K00584,3,13,4,17,3567,0
K00585,1,17,0,17,405,0
K00586,1,17,0,17,95,0
K00587,1,14,0,14,88,0
K00588,1,17,0,17,145,0
K00590,2,14,0,14,133,0
K00592,1,17,0,17,38,0
K00593,4,17,0,17,202,0
K00596,1,12,5,17,8557,0
K00597,3,17,0,17,837,0
K00598,2,17,0,17,225,0
K00599,1,14,0,14,192,0
K00600,2,14,0,14,350,0
K00601,3,15,2,17,7314,0
K00602,1,17,0,17,117,0
K00605,2,17,0,17,872,0
K00607,1,9,0,9,135,0
K00610,1,13,0,13,80,0
K00611,1,12,5,17,4421,0
K00612,3,9,4,13,873,0
K00614,1,17,0,17,117,0
K00618,1,14,0,14,137,0
K00620,3,11,6,17,685,0
K00621,1,17,0,17,85,0
K00622,1,17,0,17,9,0
K00623,4,6,11,17,11265,0
K00624,3,15,2,17,5580,0
K00626,2,14,1,15,753,0
K00627,2,16,1,17,1504,0
K00628,1,16,1,17,281,0
K00629,1,16,1,17,100,0
K00631,1,17,1,18,268,0
K00632,1,17,1,18,577,0
K00633,1,13,1,14,21,0
K00635,1,13,1,14,227,0
K00638,2,12,2,14,359,0
K00639,1,17,1,18,229,0
K00640,1,17,1,18,133,0
K00641,1,16,1,17,273,0
K00645,2,12,2,14,1018,0
K00647,2,17,1,18,1321,0
K00648,1,14,0,14,118,0
K00649,2,17,1,18,584,0
K00650,1,17,1,18,347,0
K00652,1,15,2,17,410,0
K00654,2,11,2,13,1349,0
K00655,2,16,2,18,303,0
K00657,2,8,5,13,4290,0
K00658,3,15,2,17,3930,0
K00659,1,16,1,17,175,0
K00660,1,12,2,14,1049,0
K00661,2,12,1,13,403,0
K00662,1,17,1,18,407,0
K00663,2,7,7,14,7936,0
K00664,3,17,1,18,1028,0
K00665,3,15,3,18,10406,0
K00666,1,16,1,17,181,0
K00670,1,16,1,17,430,0
K00671,4,11,6,17,8830,0
K00672,2,12,5,17,1229,0
K00673,1,17,1,18,945,0
K00674,1,3,5,8,822,0
K00676,2,6,11,17,15890,0
K00678,2,16,2,18,2744,0
K00679,2,14,3,17,850,0
K00680,1,14,3,17,1070,0
K00682,1,17,0,17,2,0
K00683,1,16,1,17,13,0
K00684,1,6,11,17,7392,0
K00685,1,16,1,17,1288,0
K00686,1,16,1,17,75,0
K00687,1,17,0,17,361,0
K00688,1,16,1,17,1247,0
K00689,1,7,1,8,203,0
K00691,2,16,1,17,386,0
K00692,2,12,5,17,8824,0
K00693,2,15,2,17,652,0
K00694,1,16,1,17,232,0
K00695,1,17,1,18,138,0
K00697,1,3,5,8,4475,0
K00700,4,9,9,18,5471,0
K00701,5,8,9,17,7931,0
K00704,1,16,1,17,221,0
K00707,5,6,11,17,10514,0
K00708,2,15,2,17,1244,0
K00709,1,16,1,17,189,0
K00710,3,16,2,18,3774,0
K00711,3,9,8,17,6766,0
K00714,1,16,1,17,976,0
K00716,1,13,1,14,141,0
K00717,2,17,1,18,4921,0
K00718,3,12,5,17,4059,0
K00719,4,12,5,17,5860,0
K00720,4,8,6,14,11454,0
K00721,1,13,1,14,276,0
K00722,1,14,1,15,82,0
K00723,3,13,4,17,4576,0
K00728,1,14,0,14,173,0
K00730,4,6,7,13,6795,0
K00732,3,17,0,17,1944,0
K00733,4,13,4,17,7440,0
K00734,2,16,1,17,221,0
K00735,1,13,0,13,51,0
K00736,2,17,0,17,304,0
K00738,2,8,6,14,2860,0
K00739,1,11,6,17,13190,0
K00740,1,17,0,17,85,0
K00746,1,17,0,17,162,0
K00747,1,15,2,17,1102,0
K00749,3,11,6,17,9561,0
K00750,3,17,0,17,472,0
K00751,1,13,0,13,231,0
K00752,2,17,0,17,186,0
K00753,1,14,0,14,62,0
K00755,1,14,2,16,2603,0
K00756,3,9,4,13,8265,0
K00757,3,11,3,14,2207,0
K00758,1,13,0,13,72,0
K00759,2,12,2,14,262,0
K00760,1,16,1,17,822,0
K00762,1,14,0,14,276,0
K00764,1,17,0,17,36,0
K00765,1,14,0,14,148,0
K00766,1,16,0,16,344,0
K00767,1,11,6,17,6022,0
K00769,1,17,0,17,352,0
K00773,1,17,0,17,39,0
K00775,3,8,6,14,3571,0
K00776,1,17,0,17,405,0
K00777,1,17,0,17,37,0
K00778,1,10,4,14,5144,0
K00780,2,16,1,17,2310,0
K00781,1,17,0,17,130,0
K00782,1,17,0,17,229,0
K00783,1,17,0,17,207,0
K00784,2,12,5,17,2172,0
K00785,1,17,0,17,121,0
K00786,1,17,0,17,409,0
K00787,3,16,1,17,8215,0
K00788,1,17,0,17,57,0
