koi_id,Teff,Teff_err1,Teff_err2,logg,logg_err1,logg_err2,FeH,FeH_err1,FeH_err2
K01972,5855.00,79.00,-70.00,4.148,0.195,-0.105,-0.2600,0.1500,-0.1500
K01973,4484.00,134.00,-134.00,4.654,0.054,-0.027,-0.5600,0.3000,-0.3000
K01974,5403.00,107.00,-107.00,4.500,0.058,-0.071,0.0000,0.1500,-0.1500
K01975,5895.00,158.00,-211.00,4.503,0.052,-0.208,-0.0200,0.2500,-0.3000
K01976,5094.00,83.00,-76.00,4.469,0.082,-0.033,0.1600,0.1500,-0.1500
K01977,4500.00,90.00,-90.00,4.656,0.012,-0.045,-0.0200,0.1500,-0.1500
K01978,6032.00,190.00,-232.00,4.465,0.056,-0.210,-0.0200,0.2500,-0.3000
K01979,5815.00,69.00,-87.00,4.461,0.040,-0.120,0.1200,0.1500,-0.1500
K01980,5413.00,107.00,-107.00,4.510,0.052,-0.078,0.0000,0.1500,-0.1500
K01981,5265.00,158.00,-158.00,4.400,0.135,-0.180,0.4600,0.0500,-0.2500
K01982,5568.00,166.00,-183.00,4.499,0.044,-0.187,0.4400,0.0500,-0.3000
K01984,6232.00,173.00,-217.00,4.432,0.054,-0.229,0.0700,0.2500,-0.3000
K01985,4931.00,98.00,-98.00,4.605,0.018,-0.049,0.0000,0.1500,-0.1500
K01986,5159.00,82.00,-82.00,4.548,0.032,-0.063,0.1600,0.1500,-0.1500
K01988,4777.00,143.00,-119.00,3.909,0.707,-0.353,0.5600,0.0500,-0.3000
K01989,5646.00,101.00,-112.00,4.447,0.072,-0.108,0.0000,0.1500,-0.1500
K01990,6106.00,163.00,-199.00,4.487,0.048,-0.192,-0.1600,0.3000,-0.3000
K01992,5592.00,75.00,-75.00,4.115,0.195,-0.090,0.1600,0.1500,-0.1500
K01996,4777.00,167.00,-167.00,4.689,0.048,-0.032,-1.0800,0.3000,-0.3000
K01997,5974.00,161.00,-161.00,4.504,0.062,-0.188,-0.4200,0.3000,-0.3000
K01998,6246.00,174.00,-239.00,4.433,0.052,-0.208,0.0700,0.2000,-0.3500
K02000,5448.00,162.00,-162.00,4.613,0.037,-0.112,-0.3800,0.3000,-0.3000
K02001,5129.00,153.00,-138.00,3.884,0.707,-0.303,-0.1600,0.3000,-0.3000
K02002,5931.00,106.00,-130.00,4.403,0.076,-0.114,0.0000,0.1500,-0.1500
K02004,5700.00,114.00,-114.00,4.327,0.103,-0.115,0.3400,0.1000,-0.1500
K02005,4461.00,132.00,-132.00,4.661,0.052,-0.028,-0.6000,0.3000,-0.3000
K02006,3758.00,75.00,-85.00,4.769,0.040,-0.040,0.0000,0.1500,-0.1500
K02007,5817.00,78.00,-78.00,3.877,0.293,-0.098,0.1800,0.1500,-0.1500
K02009,5579.00,111.00,-100.00,4.419,0.100,-0.100,0.0000,0.1500,-0.1500
K02010,6369.00,77.00,-83.00,4.088,0.174,-0.116,0.0600,0.1500,-0.1500
K02011,6388.00,115.00,-140.00,4.244,0.088,-0.121,0.1000,0.1500,-0.2000
K02012,5818.00,139.00,-157.00,4.554,0.042,-0.168,-0.2200,0.3000,-0.3000
