koi_id,Teff,Teff_err1,Teff_err2,logg,logg_err1,logg_err2,FeH,FeH_err1,FeH_err2
K02390,5822.00,116.00,-116.00,3.683,0.277,-0.092,0.0600,0.1500,-0.1500
K02392,5573.00,75.00,-83.00,4.434,0.066,-0.114,0.1600,0.1500,-0.1500
K02393,4821.00,76.00,-76.00,4.529,0.060,-0.020,0.1600,0.1500,-0.1500
K02397,5195.00,157.00,-141.00,4.598,0.061,-0.055,-0.5600,0.3500,-0.3000
K02399,5083.00,83.00,-76.00,4.468,0.083,-0.033,0.1800,0.1500,-0.1500
K02400,5870.00,158.00,-175.00,4.560,0.035,-0.184,-0.3200,0.3000,-0.3000
K02401,4544.00,121.00,-135.00,4.656,0.048,-0.032,-0.5600,0.3000,-0.3000
K02402,4873.00,145.00,-130.00,4.558,0.041,-0.045,0.3200,0.1000,-0.3000
K02403,6113.00,98.00,-147.00,4.341,0.066,-0.114,0.2200,0.1500,-0.1500
K02404,5815.00,175.00,-210.00,4.500,0.052,-0.195,-0.0800,0.3000,-0.3000
K02406,5814.00,78.00,-78.00,3.745,0.225,-0.090,-0.2600,0.1500,-0.1500
K02407,5936.00,71.00,-79.00,4.261,0.137,-0.112,0.1400,0.1500,-0.1500
K02408,5632.00,67.00,-92.00,4.537,0.014,-0.119,0.2100,0.1500,-0.1500
K02409,5255.00,158.00,-142.00,4.617,0.039,-0.084,-0.3400,0.3000,-0.3000
K02411,5903.00,158.00,-175.00,4.437,0.101,-0.188,-0.2600,0.3000,-0.3000
K02413,4513.00,71.00,-80.00,4.574,0.048,-0.012,0.1600,0.1500,-0.1500
K02414,5610.00,112.00,-101.00,4.301,0.168,-0.112,-0.0400,0.1500,-0.1500
K02415,6123.00,190.00,-232.00,4.472,0.054,-0.216,-0.1400,0.2500,-0.3500
K02416,5966.00,186.00,-207.00,4.493,0.040,-0.216,-0.0200,0.2500,-0.3500
K02417,4551.00,90.00,-90.00,4.609,0.036,-0.018,-0.1400,0.1500,-0.1500
K02418,3576.00,71.00,-85.00,4.791,0.055,-0.035,0.1600,0.1500,-0.1500
K02419,6165.00,184.00,-202.00,4.365,0.105,-0.210,-0.0800,0.2500,-0.3000
K02420,5557.00,83.00,-75.00,4.288,0.162,-0.108,0.1400,0.1500,-0.1500
K02421,4671.00,139.00,-153.00,4.721,0.048,-0.028,-1.3000,0.3000,-0.3000
K02422,5242.00,84.00,-73.00,4.512,0.050,-0.061,0.1400,0.1500,-0.1500
K02423,6499.00,174.00,-232.00,4.378,0.067,-0.202,-0.1000,0.2500,-0.3000
K02424,5073.00,168.00,-152.00,4.607,0.024,-0.084,0.0700,0.2500,-0.3000
K02426,5481.00,147.00,-147.00,4.574,0.032,-0.136,-0.0600,0.3000,-0.3000
K02432,5395.00,177.00,-144.00,4.615,0.035,-0.112,-0.3400,0.3000,-0.3000
K02433,6325.00,174.00,-261.00,4.409,0.058,-0.218,-0.0400,0.2500,-0.3000
K02436,5418.00,164.00,-180.00,4.543,0.030,-0.170,0.3600,0.1000,-0.3000
K02437,6150.00,79.00,-79.00,4.223,0.125,-0.125,0.1600,0.1500,-0.1500
K02439,6321.00,174.00,-261.00,4.417,0.056,-0.224,0.0700,0.2500,-0.3500
K02440,5688.00,77.00,-77.00,4.333,0.132,-0.108,0.1000,0.1500,-0.1500
K02442,5009.00,82.00,-75.00,4.491,0.077,-0.028,0.1600,0.1500,-0.1500
K02443,5772.00,115.00,-104.00,4.351,0.150,-0.100,-0.3800,0.1500,-0.1500
K02444,5569.00,166.00,-182.00,4.566,0.032,-0.179,-0.0800,0.3000,-0.3000
K02445,5708.00,169.00,-186.00,4.482,0.078,-0.182,-0.1600,0.3000,-0.3000
K02448,5052.00,192.00,-174.00,4.480,0.105,-0.105,0.1600,0.2500,-0.3000
K02449,5481.00,82.00,-74.00,4.369,0.121,-0.099,0.1600,0.1500,-0.1500
K02450,5518.00,74.00,-83.00,4.400,0.100,-0.100,0.1600,0.1500,-0.1500
K02453,3462.00,76.00,-69.00,5.004,0.065,-0.065,-0.4200,0.1500,-0.1000
K02457,6732.00,163.00,-204.00,3.958,0.273,-0.117,-0.4200,0.3000,-0.2500
K02458,5455.00,162.00,-162.00,4.421,0.149,-0.198,-0.2000,0.3000,-0.3000
K02460,4563.00,123.00,-136.00,4.624,0.048,-0.028,-0.3200,0.3000,-0.3000
K02461,5550.00,182.00,-182.00,4.562,0.042,-0.168,-0.0600,0.3000,-0.3000
K02462,5877.00,116.00,-116.00,3.927,0.203,-0.087,0.0400,0.1500,-0.1500
K02463,6161.00,98.00,-147.00,4.399,0.032,-0.128,0.3600,0.1000,-0.2000
K02466,4500.00,133.00,-133.00,4.632,0.048,-0.028,-0.3200,0.3000,-0.3000
K02467,5926.00,176.00,-211.00,4.506,0.052,-0.208,-0.0400,0.2500,-0.3000
K02468,6091.00,169.00,-211.00,4.487,0.050,-0.200,-0.1400,0.2500,-0.3500
K02469,4898.00,78.00,-88.00,4.518,0.068,-0.018,0.1400,0.1500,-0.1500
K02471,5190.00,85.00,-77.00,4.446,0.105,-0.042,0.1200,0.1500,-0.1500
K02472,6147.00,172.00,-236.00,4.435,0.052,-0.208,0.2100,0.2000,-0.3500
K02473,5094.00,81.00,-81.00,4.469,0.096,-0.030,0.1600,0.1500,-0.1500
K02477,5970.00,184.00,-205.00,4.355,0.112,-0.192,0.0600,0.2500,-0.3000
K02479,5422.00,119.00,-98.00,3.945,0.162,-0.108,0.0200,0.1500,-0.1500
K02480,3993.00,79.00,-89.00,4.696,0.052,-0.028,-0.2000,0.3000,-0.3000
K02482,5790.00,156.00,-190.00,4.528,0.036,-0.204,-0.0200,0.3000,-0.3000
K02483,5475.00,162.00,-162.00,4.479,0.121,-0.135,-0.4600,0.3500,-0.3000
K02484,5753.00,115.00,-92.00,4.200,0.201,-0.108,-0.2800,0.1500,-0.1000
K02485,4838.00,77.00,-77.00,4.524,0.063,-0.018,0.1800,0.1500,-0.1500
K02486,6395.00,176.00,-242.00,4.275,0.153,-0.187,-0.2800,0.2500,-0.3000
K02487,5843.00,79.00,-79.00,4.069,0.182,-0.084,0.1400,0.1500,-0.1500
K02488,5945.00,118.00,-118.00,4.196,0.168,-0.112,-0.0200,0.1500,-0.1500
K02489,5776.00,181.00,-201.00,4.554,0.042,-0.168,-0.1800,0.3000,-0.3000
K02490,4703.00,74.00,-84.00,4.582,0.049,-0.017,-0.1400,0.1500,-0.1500
K02491,5806.00,157.00,-192.00,4.528,0.042,-0.168,-0.0400,0.2500,-0.3000
K02492,5825.00,79.00,-79.00,4.046,0.196,-0.084,0.1400,0.1500,-0.1500
K02493,5172.00,170.00,-154.00,4.600,0.026,-0.097,0.0700,0.2500,-0.3000
K02494,5862.00,79.00,-79.00,4.148,0.176,-0.095,0.1600,0.1500,-0.1500
K02497,4891.00,78.00,-87.00,4.516,0.067,-0.018,0.1600,0.1500,-0.1500
K02498,5168.00,102.00,-102.00,4.566,0.036,-0.048,-0.1200,0.1500,-0.1500
K02503,4825.00,96.00,-96.00,4.603,0.018,-0.045,0.0800,0.1500,-0.1500
K02504,5681.00,180.00,-200.00,4.524,0.036,-0.204,0.2100,0.2000,-0.3000
K02506,6117.00,190.00,-212.00,4.420,0.087,-0.203,-0.1800,0.2500,-0.3000
K02507,6122.00,190.00,-232.00,4.487,0.052,-0.208,-0.1800,0.3000,-0.3000
K02508,5488.00,166.00,-149.00,4.584,0.036,-0.135,-0.1800,0.3000,-0.3000
K02509,5009.00,80.00,-80.00,4.491,0.077,-0.028,0.1600,0.1500,-0.1500
K02512,5595.00,149.00,-166.00,4.570,0.040,-0.160,-0.1400,0.3000,-0.3000
K02513,6347.00,176.00,-220.00,4.423,0.067,-0.202,-0.3200,0.2500,-0.3500
K02516,5415.00,81.00,-72.00,3.868,0.196,-0.084,0.1200,0.1500,-0.1500
K02517,5580.00,83.00,-75.00,4.538,0.020,-0.104,0.1400,0.1500,-0.1500
K02519,4359.00,78.00,-87.00,4.601,0.045,-0.010,0.0400,0.1500,-0.1500
K02520,4769.00,141.00,-127.00,4.557,0.065,-0.030,0.0000,0.3000,-0.3000
K02521,4996.00,82.00,-74.00,4.497,0.080,-0.025,0.1400,0.1500,-0.1500
K02522,4847.00,97.00,-97.00,4.581,0.033,-0.030,0.0000,0.1500,-0.1500
K02523,5514.00,74.00,-74.00,4.345,0.132,-0.108,0.1600,0.1500,-0.1500
K02524,5842.00,79.00,-70.00,4.170,0.176,-0.095,0.1400,0.1500,-0.1500
K02525,4806.00,144.00,-129.00,4.564,0.065,-0.030,-0.1000,0.3000,-0.3000
K02527,4239.00,84.00,-84.00,4.667,0.025,-0.022,-0.2200,0.1500,-0.1500
K02528,5982.00,167.00,-188.00,4.535,0.048,-0.204,-0.2800,0.3000,-0.3000
K02529,4652.00,74.00,-83.00,4.617,0.020,-0.032,0.0200,0.1500,-0.1500
K02530,5623.00,75.00,-75.00,4.079,0.189,-0.081,0.3600,0.1000,-0.1500
K02531,4807.00,172.00,-172.00,4.583,0.041,-0.045,0.0800,0.2500,-0.3000
K02532,5237.00,157.00,-157.00,4.572,0.028,-0.112,0.2400,0.2000,-0.3000
K02533,4924.00,74.00,-66.00,3.356,0.140,-0.126,-0.0800,0.1500,-0.1000
K02534,6123.00,122.00,-134.00,4.263,0.137,-0.112,-0.0600,0.1500,-0.1500
K02535,4821.00,76.00,-76.00,4.529,0.060,-0.020,0.1600,0.1500,-0.1500
K02536,6071.00,189.00,-210.00,4.353,0.132,-0.198,-0.1400,0.3000,-0.3000
K02538,5026.00,100.00,-100.00,4.580,0.024,-0.048,0.0000,0.1500,-0.1500
K02541,4938.00,69.00,-79.00,3.450,0.143,-0.130,0.0000,0.1500,-0.1500
K02542,3460.00,69.00,-83.00,4.920,0.058,-0.071,0.0700,0.1500,-0.1500
K02543,4948.00,79.00,-79.00,4.508,0.072,-0.023,0.1400,0.1500,-0.1500
K02544,5774.00,154.00,-188.00,4.508,0.036,-0.204,0.1200,0.2000,-0.3000
K02545,6054.00,81.00,-72.00,3.923,0.044,-0.036,0.1600,0.1500,-0.1000
K02547,6074.00,181.00,-181.00,4.375,0.149,-0.182,-0.5400,0.3000,-0.3000
K02548,4452.00,87.00,-47.00,2.280,0.030,-0.030,-0.0400,0.1500,-0.1000
K02550,5955.00,161.00,-179.00,4.520,0.037,-0.213,-0.1600,0.3000,-0.3000
K02551,4908.00,162.00,-148.00,4.618,0.027,-0.063,-0.0200,0.3000,-0.3000
K02552,6078.00,81.00,-90.00,4.294,0.099,-0.121,0.1400,0.1500,-0.1500
K02553,4939.00,79.00,-79.00,4.506,0.072,-0.022,0.1600,0.1500,-0.1500
K02554,4405.00,119.00,-146.00,4.732,0.058,-0.031,-1.1000,0.3000,-0.3500
K02555,6084.00,122.00,-134.00,4.319,0.103,-0.115,-0.0600,0.1500,-0.1500
K02556,5529.00,110.00,-110.00,4.457,0.076,-0.093,0.0000,0.1500,-0.1500
K02559,5806.00,104.00,-116.00,4.353,0.105,-0.116,0.0600,0.1500,-0.1500
K02560,4905.00,178.00,-178.00,4.536,0.072,-0.048,0.0200,0.2500,-0.3000
K02561,6075.00,163.00,-181.00,4.541,0.036,-0.204,-0.4600,0.3000,-0.3000
K02563,6384.00,151.00,-207.00,4.361,0.087,-0.203,-0.2400,0.2500,-0.3000
K02564,5734.00,95.00,-69.00,3.591,0.292,-0.097,0.2600,0.1500,-0.1500
K02569,5640.00,76.00,-76.00,4.288,0.143,-0.104,0.1600,0.1500,-0.1500
K02571,5218.00,73.00,-83.00,4.548,0.025,-0.070,0.1600,0.1500,-0.1500
K02572,5672.00,160.00,-200.00,4.503,0.044,-0.176,0.3600,0.1000,-0.3000
K02577,5988.00,335.00,-503.00,2.982,0.273,-0.117,0.5600,0.0500,-0.1500
K02578,5991.00,161.00,-179.00,4.394,0.105,-0.195,-0.1800,0.3000,-0.3000
K02579,5887.00,70.00,-79.00,4.292,0.120,-0.120,0.1600,0.1500,-0.1500
K02580,5591.00,175.00,-194.00,4.559,0.033,-0.187,0.0700,0.2500,-0.3000
K02581,5420.00,108.00,-97.00,4.502,0.058,-0.078,0.0000,0.1500,-0.1500
K02582,5855.00,104.00,-116.00,4.227,0.143,-0.117,0.2600,0.1500,-0.1500
K02583,5640.00,101.00,-113.00,4.492,0.045,-0.113,0.0600,0.1500,-0.1500
K02585,5767.00,115.00,-104.00,4.287,0.162,-0.108,-0.1400,0.1500,-0.1500
K02586,5845.00,162.00,-223.00,4.469,0.050,-0.200,0.2600,0.1500,-0.3000
K02587,6058.00,161.00,-197.00,4.540,0.046,-0.184,-0.4000,0.3000,-0.3000
K02588,4102.00,81.00,-81.00,4.687,0.022,-0.027,-0.1400,0.1500,-0.1500
K02589,5178.00,155.00,-139.00,4.585,0.024,-0.102,0.1600,0.2500,-0.3000
K02590,6311.00,113.00,-126.00,4.116,0.168,-0.112,0.0200,0.1500,-0.1500
K02592,6225.00,175.00,-218.00,4.461,0.056,-0.210,-0.1800,0.2500,-0.3500
K02593,6175.00,110.00,-134.00,4.299,0.072,-0.108,0.2800,0.1500,-0.1500
K02594,5995.00,163.00,-199.00,4.351,0.112,-0.192,-0.0400,0.2500,-0.3000
K02595,6194.00,124.00,-136.00,4.242,0.125,-0.125,-0.0400,0.1500,-0.1500
K02597,6398.00,157.00,-224.00,4.411,0.056,-0.210,-0.1400,0.2500,-0.3000
K02598,6049.00,190.00,-211.00,4.461,0.058,-0.232,-0.0200,0.2500,-0.3000
K02602,5550.00,83.00,-74.00,4.384,0.105,-0.105,0.1600,0.1500,-0.1500
K02603,6374.00,113.00,-139.00,4.193,0.130,-0.130,0.1000,0.1500,-0.1500
K02604,4915.00,133.00,-148.00,4.627,0.027,-0.063,-0.1000,0.3000,-0.3000
K02607,5561.00,83.00,-75.00,4.250,0.174,-0.101,0.1000,0.1500,-0.1500
K02608,6381.00,181.00,-227.00,3.897,0.405,-0.135,-0.0800,0.2500,-0.3000
K02610,6585.00,182.00,-250.00,3.813,0.448,-0.112,-0.0800,0.2500,-0.3000
K02612,5495.00,74.00,-82.00,4.442,0.072,-0.099,0.1600,0.1500,-0.1500
K02613,5380.00,175.00,-159.00,4.581,0.026,-0.145,0.0700,0.2500,-0.3000
K02614,5689.00,85.00,-76.00,4.065,0.195,-0.105,0.0200,0.1500,-0.1500
K02615,5999.00,168.00,-210.00,4.494,0.050,-0.200,-0.0600,0.2500,-0.3500
K02617,5352.00,159.00,-159.00,4.599,0.035,-0.112,-0.1800,0.3000,-0.3000
K02619,5812.00,162.00,-203.00,4.504,0.039,-0.208,0.2100,0.2000,-0.3000
K02620,5644.00,152.00,-152.00,4.575,0.036,-0.144,-0.2400,0.3000,-0.3000
K02623,6187.00,74.00,-80.00,4.341,0.050,-0.150,0.2600,0.1500,-0.2000
K02624,5800.00,78.00,-87.00,4.327,0.110,-0.110,0.1400,0.1500,-0.1500
K02625,5547.00,166.00,-166.00,4.571,0.028,-0.152,-0.1000,0.3000,-0.3000
K02626,3554.00,71.00,-80.00,4.867,0.055,-0.055,-0.0400,0.1500,-0.1500
K02627,5405.00,75.00,-86.00,3.741,0.217,-0.093,0.0800,0.1500,-0.1500
K02628,5827.00,70.00,-79.00,4.191,0.162,-0.108,0.1600,0.1500,-0.1500
K02631,5871.00,70.00,-88.00,4.493,0.019,-0.110,0.2100,0.1500,-0.1500
K02632,6311.00,113.00,-126.00,3.998,0.188,-0.116,0.1800,0.1500,-0.1500
K02634,5623.00,152.00,-169.00,4.596,0.040,-0.120,-0.4000,0.3000,-0.3000
K02635,5979.00,118.00,-130.00,3.854,0.224,-0.080,-0.1200,0.1500,-0.1500
K02636,5854.00,105.00,-128.00,4.469,0.040,-0.120,0.0600,0.1500,-0.1500
K02637,5692.00,77.00,-77.00,4.288,0.137,-0.112,0.1600,0.1500,-0.1500
K02638,5420.00,177.00,-161.00,4.487,0.077,-0.143,-0.0600,0.3000,-0.3000
K02639,6133.00,171.00,-236.00,4.367,0.105,-0.210,-0.0600,0.2500,-0.3000
K02641,5839.00,147.00,-161.00,4.337,0.153,-0.187,-0.1600,0.3000,-0.3000
K02643,5354.00,175.00,-159.00,4.587,0.032,-0.120,-0.0800,0.3000,-0.3000
K02647,5330.00,159.00,-159.00,4.491,0.074,-0.126,0.0400,0.2500,-0.3000
K02649,5853.00,146.00,-175.00,4.529,0.048,-0.192,-0.1000,0.2500,-0.3000
K02650,3765.00,75.00,-83.00,4.725,0.049,-0.021,0.0200,0.1500,-0.1500
K02652,5392.00,80.00,-80.00,4.314,0.165,-0.150,0.1800,0.1500,-0.1000
K02654,5853.00,157.00,-192.00,4.529,0.048,-0.192,-0.1000,0.3000,-0.3000
K02655,5495.00,74.00,-82.00,4.442,0.072,-0.099,0.1600,0.1500,-0.1500
K02656,6392.00,154.00,-220.00,4.425,0.065,-0.195,-0.2000,0.2500,-0.3000
K02657,5487.00,109.00,-109.00,4.512,0.056,-0.077,-0.1800,0.1500,-0.1500
K02658,5791.00,78.00,-86.00,4.381,0.080,-0.120,0.1600,0.1500,-0.1500
K02660,6245.00,175.00,-219.00,4.406,0.072,-0.217,-0.1600,0.2500,-0.3000
K02662,3605.00,71.00,-85.00,4.837,0.038,-0.071,0.0700,0.1500,-0.1500
K02663,5693.00,136.00,-153.00,4.570,0.032,-0.179,-0.2400,0.3000,-0.3000
K02664,5151.00,168.00,-153.00,4.528,0.082,-0.067,-0.1600,0.3000,-0.3000
K02666,5691.00,155.00,-155.00,4.561,0.050,-0.150,-0.4800,0.3000,-0.3000
K02668,5440.00,73.00,-81.00,4.491,0.045,-0.098,0.2100,0.1500,-0.1500
K02671,5780.00,nan,nan,4.438,nan,nan,0.0000,0.0000,0.0000
K02672,5593.00,111.00,-111.00,4.450,0.068,-0.102,0.0200,0.1500,-0.1500
K02674,5616.00,124.00,-90.00,4.004,0.202,-0.093,0.0400,0.1500,-0.1500
K02675,5721.00,103.00,-126.00,4.517,0.028,-0.112,0.0200,0.1500,-0.1500
K02677,5185.00,93.00,-70.00,3.936,0.416,-0.104,0.3400,0.1000,-0.1500
K02678,5397.00,107.00,-107.00,4.543,0.033,-0.083,-0.0200,0.1500,-0.1500
K02679,6525.00,176.00,-195.00,3.772,0.320,-0.080,-0.1600,0.3000,-0.2500
K02680,5440.00,160.00,-160.00,4.617,0.035,-0.112,-0.4000,0.3000,-0.3000
K02681,5307.00,105.00,-105.00,4.572,0.041,-0.054,-0.2800,0.1500,-0.1500
K02683,5613.00,152.00,-152.00,4.581,0.034,-0.136,-0.2600,0.3000,-0.3000
K02686,4658.00,93.00,-93.00,4.632,0.015,-0.042,0.0000,0.1500,-0.1500
K02687,5808.00,105.00,-128.00,4.522,0.030,-0.120,-0.0600,0.1500,-0.1500
K02688,4137.00,145.00,-160.00,4.658,0.063,-0.027,-0.2200,0.3000,-0.3000
K02689,5594.00,186.00,-186.00,4.520,0.077,-0.143,-0.4000,0.3000,-0.3000
K02690,5508.00,99.00,-110.00,4.569,0.012,-0.108,0.0700,0.1500,-0.1500
K02691,4735.00,170.00,-170.00,4.627,0.032,-0.048,-0.1000,0.3000,-0.3000
K02693,4498.00,90.00,-90.00,4.661,0.012,-0.042,-0.0800,0.1500,-0.1500
K02694,4818.00,143.00,-129.00,4.481,0.078,-0.585,0.5600,0.0500,-0.3000
K02695,5174.00,169.00,-154.00,4.483,0.095,-0.105,-0.0400,0.3000,-0.3000
K02696,7029.00,194.00,-219.00,3.806,0.277,-0.092,-0.1600,0.3000,-0.3000
K02698,5837.00,105.00,-117.00,4.305,0.125,-0.112,0.0000,0.1500,-0.1500
K02699,5223.00,171.00,-155.00,4.593,0.028,-0.105,0.0700,0.2500,-0.3000
K02700,4297.00,116.00,-142.00,4.725,0.045,-0.050,-0.6800,0.3000,-0.3000
K02703,4477.00,159.00,-159.00,4.649,0.035,-0.039,-0.2000,0.3000,-0.3000
K02704,3157.00,75.00,-37.00,5.112,0.076,-0.123,0.2600,0.1500,-0.1000
K02705,3483.00,78.00,-78.00,4.875,0.060,-0.060,0.1000,0.1500,-0.1500
K02706,6329.00,82.00,-76.00,4.026,0.016,-0.018,0.0600,0.1500,-0.1500
K02707,5467.00,82.00,-73.00,4.271,0.180,-0.120,0.1400,0.1500,-0.1000
K02708,4792.00,143.00,-143.00,4.627,0.024,-0.060,0.0700,0.2500,-0.3000
K02711,5885.00,105.00,-117.00,4.348,0.110,-0.110,0.0000,0.1500,-0.1500
K02712,6408.00,115.00,-140.00,4.309,0.040,-0.120,0.3000,0.1000,-0.2000
K02714,6115.00,122.00,-135.00,4.249,0.137,-0.112,-0.0400,0.1500,-0.1500
K02715,3640.00,81.00,-90.00,4.744,0.056,-0.024,0.2100,0.1500,-0.1500
K02716,5704.00,169.00,-186.00,4.575,0.040,-0.160,-0.3000,0.3000,-0.3000
K02717,6039.00,134.00,-121.00,4.169,0.168,-0.112,-0.0400,0.1500,-0.1500
K02719,4827.00,129.00,-144.00,4.508,0.084,-0.070,0.3200,0.1500,-0.3000
K02720,6042.00,81.00,-81.00,4.139,0.012,-0.013,-0.1600,0.2000,-0.1500
K02721,5533.00,74.00,-74.00,4.348,0.126,-0.103,0.1600,0.1500,-0.1500
K02722,6052.00,121.00,-133.00,4.285,0.137,-0.112,-0.1200,0.1500,-0.1500
K02723,5741.00,154.00,-188.00,4.495,0.052,-0.208,0.1200,0.2500,-0.3000
K02728,6864.00,184.00,-225.00,3.783,0.285,-0.095,-0.1600,0.3000,-0.2500
K02729,6143.00,164.00,-200.00,4.344,0.132,-0.198,-0.2000,0.2500,-0.3000
K02730,5576.00,83.00,-75.00,4.201,0.182,-0.112,0.1600,0.1500,-0.1500
K02732,6170.00,110.00,-135.00,4.192,0.137,-0.125,0.2400,0.1500,-0.1500
K02733,4868.00,78.00,-78.00,4.600,0.014,-0.049,0.1400,0.1500,-0.1500
K02734,5223.00,183.00,-183.00,4.505,0.054,-0.117,0.3200,0.1000,-0.3000
K02735,5151.00,154.00,-138.00,4.592,0.024,-0.102,0.2100,0.2000,-0.3000
K02736,4442.00,133.00,-146.00,4.619,0.053,-0.025,-0.2000,0.3000,-0.3000
K02739,5480.00,82.00,-74.00,4.260,0.180,-0.120,0.1600,0.1500,-0.1000
K02742,4258.00,114.00,-139.00,4.635,0.053,-0.021,-0.1800,0.3000,-0.3000
K02743,5523.00,110.00,nan,4.506,0.049,-0.098,0.0000,0.1500,-0.1500
K02744,5332.00,88.00,-72.00,4.083,0.368,-0.092,0.1800,0.2000,-0.1000
K02745,5896.00,164.00,-184.00,4.518,0.050,-0.213,-0.0800,0.3000,-0.3000
K02747,5032.00,151.00,-151.00,4.511,0.077,-0.056,0.0800,0.2500,-0.3000
K02748,5416.00,130.00,-87.00,3.951,0.168,-0.112,0.0000,0.1500,-0.1500
K02750,5974.00,89.00,-80.00,3.859,0.196,-0.084,0.1000,0.1500,-0.1500
K02751,4583.00,137.00,-137.00,4.606,0.052,-0.028,-0.1600,0.3000,-0.3000
K02753,5874.00,79.00,-79.00,4.252,0.137,-0.112,0.1600,0.1500,-0.1500
K02754,5779.00,104.00,-115.00,4.440,0.072,-0.117,-0.0800,0.1500,-0.1500
K02755,5827.00,104.00,-116.00,4.471,0.059,-0.110,-0.1600,0.1500,-0.1500
K02756,5884.00,70.00,-79.00,4.408,0.063,-0.117,0.1600,0.1500,-0.1500
K02757,5422.00,107.00,-107.00,4.481,0.067,-0.075,0.0000,0.1500,-0.1500
K02758,5177.00,163.00,-181.00,3.216,0.578,-0.193,0.1000,0.2500,-0.4000
K02759,4906.00,78.00,-88.00,4.511,0.067,-0.022,0.1800,0.1500,-0.1500
K02760,4701.00,74.00,-84.00,4.540,0.052,-0.016,0.2400,0.1500,-0.1500
K02762,4523.00,161.00,-161.00,4.636,0.032,-0.039,-0.1000,0.3000,-0.3000
K02764,4039.00,80.00,-80.00,4.708,0.023,-0.030,-0.1600,0.1500,-0.1500
K02768,5653.00,165.00,-161.00,4.551,0.026,-0.272,-0.0400,0.2500,-0.2600
K02770,4400.00,157.00,-157.00,4.659,0.035,-0.039,-0.2000,0.3000,-0.3000
K02775,5653.00,169.00,-152.00,4.442,0.116,-0.174,-0.3200,0.3000,-0.3000
K02778,5417.00,188.00,-169.00,4.447,0.108,-0.162,-0.0800,0.3000,-0.3000
K02779,6161.00,166.00,-203.00,4.545,0.046,-0.196,-0.5000,0.3000,-0.3000
K02780,6198.00,175.00,-218.00,4.464,0.052,-0.208,-0.1600,0.2500,-0.3500
K02785,6237.00,194.00,-259.00,4.374,0.090,-0.210,-0.0800,0.2500,-0.3000
K02786,6763.00,182.00,-243.00,4.220,0.144,-0.176,-0.3200,0.2500,-0.3000
K02789,6177.00,169.00,-188.00,4.516,0.040,-0.216,-0.4000,0.3000,-0.3000
K02790,5153.00,102.00,-102.00,4.551,0.049,-0.036,-0.1800,0.1500,-0.1500
K02791,5912.00,70.00,-82.00,4.397,0.063,-0.117,0.1600,0.1500,-0.1500
K02792,5952.00,71.00,-83.00,4.227,0.014,-0.016,0.1800,0.1500,-0.1500
K02793,3698.00,66.00,-73.00,4.810,0.055,-0.045,-0.2000,0.2000,-0.2000
K02796,5749.00,78.00,-86.00,4.457,0.042,-0.119,0.1400,0.1500,-0.1500
K02797,6116.00,190.00,-253.00,4.440,0.052,-0.208,0.2100,0.1500,-0.3000
K02798,4374.00,118.00,-131.00,4.639,0.052,-0.024,-0.3400,0.3500,-0.3000
K02801,6057.00,134.00,-121.00,4.139,0.168,-0.112,-0.0600,0.1500,-0.1500
K02802,5927.00,71.00,-83.00,4.323,0.105,-0.116,0.1600,0.1500,-0.1500
K02803,5615.00,101.00,-123.00,4.505,0.030,-0.120,0.2400,0.1500,-0.1500
K02805,6324.00,150.00,-188.00,4.352,0.096,-0.144,-0.2800,0.2500,-0.3000
K02806,4852.00,144.00,-144.00,4.519,0.078,-0.052,0.2000,0.2000,-0.3000
K02807,6310.00,170.00,-208.00,4.273,0.136,-0.204,-0.0800,0.2500,-0.3000
K02812,6173.00,169.00,-206.00,4.408,0.087,-0.203,-0.2800,0.3000,-0.3000
K02813,4676.00,80.00,-126.00,2.577,0.030,-0.027,0.2600,0.1000,-0.2000
K02816,5467.00,164.00,-164.00,4.578,0.034,-0.136,-0.0800,0.3000,-0.3000
K02817,5226.00,190.00,-190.00,4.606,0.036,-0.090,-0.1600,0.3000,-0.3000
K02820,5713.00,68.00,-94.00,4.541,0.016,-0.099,0.0700,0.1500,-0.1500
K02821,5648.00,169.00,-186.00,4.464,0.094,-0.175,-0.1200,0.3000,-0.3000
K02822,5918.00,187.00,-208.00,4.544,0.036,-0.204,-0.2600,0.3000,-0.3000
K02827,5305.00,159.00,-159.00,4.489,0.108,-0.132,-0.2600,0.3000,-0.3000
K02828,4817.00,184.00,-167.00,4.499,0.095,-0.114,0.4200,0.0500,-0.3000
K02829,5865.00,117.00,-105.00,4.163,0.182,-0.098,0.0000,0.1500,-0.1500
K02830,6443.00,77.00,-90.00,3.740,0.210,-0.090,0.5600,0.0500,-0.1500
K02832,5213.00,157.00,-141.00,4.434,0.124,-0.201,0.1400,0.2500,-0.3000
K02833,6002.00,119.00,-131.00,3.841,0.217,-0.093,-0.2800,0.1500,-0.1500
K02834,4648.00,167.00,-167.00,4.631,0.032,-0.042,-0.1000,0.3000,-0.3000
K02835,4380.00,130.00,-143.00,4.710,0.059,-0.032,-0.9200,0.3000,-0.3000
K02836,4901.00,146.00,-146.00,4.544,0.070,-0.056,-0.0600,0.3000,-0.2500
K02837,6995.00,194.00,-243.00,3.925,0.227,-0.122,-0.1200,0.3000,-0.3000
K02838,5727.00,115.00,-104.00,4.328,0.132,-0.108,0.0000,0.1500,-0.1500
