kepid,kepmag,nkoi,rrmscdpp03p0,rrmscdpp06p0,rrmscdpp09p0,rrmscdpp12p0,rrmscdpp15p0,st_delivname
11853255,15.135,1,,,,,,q1_q12_stellar
11904704,14.722,1,,,,,,q1_q12_stellar
11764462,13.069,1,,,,,,q1_q12_stellar
11858541,14.215,1,,,,,,q1_q12_stellar
11771430,13.628,1,,,,,,q1_q12_stellar
11818566,15.690,1,,,,,,q1_q12_stellar
11818607,14.630,1,,,,,,q1_q12_stellar
11773328,14.816,1,,,,,,q1_q12_stellar
11752632,13.835,1,,,,,,q1_q12_stellar
11774303,15.177,1,,,,,,q1_q12_stellar
11918793,15.457,1,,,,,,q1_q12_stellar
12061222,14.472,1,,,,,,q1_q12_stellar
12016243,15.193,1,,,,,,q1_q12_stellar
12017140,13.883,1,,,,,,q1_q12_stellar
12020376,13.718,1,,,,,,q1_q12_stellar
11924426,13.882,1,,,,,,q1_q12_stellar
12022718,14.690,1,,,,,,q1_q12_stellar
11975363,15.409,1,,,,,,q1_q12_stellar
11906217,14.430,1,,,,,,q1_q12_stellar
12004679,13.231,1,,,,,,q1_q12_stellar
11959569,12.387,1,,,,,,q1_q12_stellar
11911561,13.579,1,,,,,,q1_q12_stellar
11913052,13.846,1,,,,,,q1_q12_stellar
12058147,13.380,1,,,,,,q1_q12_stellar
12058204,14.514,2,,,,,,q1_q12_stellar
12108364,15.826,1,,,,,,q1_q12_stellar
12206313,13.312,3,,,,,,q1_q12_stellar
12268220,11.425,1,,,,,,q1_q12_stellar
12216278,15.415,1,,,,,,q1_q12_stellar
12164751,14.187,1,,,,,,q1_q12_stellar
12165063,12.059,1,,,,,,q1_q12_stellar
12071037,14.104,1,,,,,,q1_q12_stellar
12170648,14.828,1,,,,,,q1_q12_stellar
12107008,14.702,1,,,,,,q1_q12_stellar
12416597,14.732,2,,,,,,q1_q12_stellar
12691412,13.502,1,,,,,,q1_q12_stellar
12417486,14.932,1,,,,,,q1_q12_stellar
12418418,13.771,1,,,,,,q1_q12_stellar
12418816,12.402,1,,,,,,q1_q12_stellar
12784167,14.216,1,,,,,,q1_q12_stellar
12643582,16.442,1,,,,,,q1_q12_stellar
12643589,13.754,2,,,,,,q1_q12_stellar
12401863,13.467,1,,,,,,q1_q12_stellar
12404086,15.234,1,,,,,,q1_q12_stellar
1575690,15.625,1,,,,,,q1_q12_stellar
2014991,12.396,1,,,,,,q1_q12_stellar
2437505,17.290,2,,,,,,q1_q12_stellar
2302548,13.562,2,,,,,,q1_q12_stellar
2302997,14.709,1,,,,,,q1_q12_stellar
2441728,13.098,1,,,,,,q1_q12_stellar
2442448,14.357,1,,,,,,q1_q12_stellar
1725016,15.242,1,,,,,,q1_q12_stellar
12835139,13.329,1,,,,,,q1_q12_stellar
1293379,15.979,1,,,,,,q1_q12_stellar
1868404,12.975,1,,,,,,q1_q12_stellar
2158460,15.892,1,,,,,,q1_q12_stellar
2309719,12.899,1,,,,,,q1_q12_stellar
2165002,15.391,2,,,,,,q1_q12_stellar
2165352,14.469,1,,,,,,q1_q12_stellar
1433980,14.915,1,,,,,,q1_q12_stellar
2695110,14.882,1,,,,,,q1_q12_stellar
2860866,14.960,1,,,,,,q1_q12_stellar
2861126,15.555,2,,,,,,q1_q12_stellar
2708172,13.814,1,,,,,,q1_q12_stellar
2710623,14.103,1,,,,,,q1_q12_stellar
2711123,12.529,1,,,,,,q1_q12_stellar
