planet_name,disposition,koi_id,kic_id,npl,kep_mag,mstar,mstar_err1,mstar_err2,rstar,rstar_err1,rstar_err2,logrho,logrho_err1,logrho_err2,Teff,Teff_err1,Teff_err2,FeH,FeH_err1,FeH_err2,logg,logg_err1,logg_err2,limbdark_1,limbdark_2,period,period_err1,period_err2,epoch,epoch_err1,epoch_err2,prad,prad_err1,prad_err2,impact,impact_err1,impact_err2,depth,depth_err1,depth_err2,duration,duration_err1,duration_err2,ror,ror_err1,ror_err2,dor,dor_err1,dor_err2,snr,num_transits
K01475.01,CANDIDATE,K01475,4770365,3,15.937,0.6090,0.0330,-0.0330,0.6030,0.0270,-0.0300,0.5928166471977115,0.042474582665805394,-0.05189605343097026,4224.00,84.00,-84.00,-0.2000,0.1500,-0.1500,4.662,0.025,-0.020,0.6443,0.10100000000000002,1.609321941,3.0440000e-06,-3.0440000e-06,178.9417800,1.580000e-03,-1.580000e-03,1.57,7.000e-02,-8.000e-02,0.0160,0.4630,-0.0160,7.2850e+02,2.440e+01,-2.440e+01,1.60670,0.05050,-0.05050,0.023817,1.169000e-03,-6.950000e-04,7.856000,0.531000,-0.531000,35.30,751
K01475.02,CONFIRMED,K01475,4770365,3,15.937,0.6090,0.0330,-0.0330,0.6030,0.0270,-0.0300,0.5928166471977115,0.042474582665805394,-0.05189605343097026,4224.00,84.00,-84.00,-0.2000,0.1500,-0.1500,4.662,0.025,-0.020,0.6443,0.10100000000000002,9.512200460,3.2100000e-05,-3.2100000e-05,185.4789300,2.960000e-03,-2.960000e-03,1.99,8.000e-02,-1.000e-01,0.1330,0.3370,-0.1330,1.1694e+03,4.020e+01,-4.020e+01,2.94970,0.08370,-0.08370,0.030147,1.445000e-03,-7.340000e-04,25.170000,2.400000,-2.400000,31.90,121
K01475.03,CANDIDATE,K01475,4770365,3,15.937,0.6090,0.0330,-0.0330,0.6030,0.0270,-0.0300,0.5928166471977115,0.042474582665805394,-0.05189605343097026,4224.00,84.00,-84.00,-0.2000,0.1500,-0.1500,4.662,0.025,-0.020,0.6443,0.10100000000000002,4.729411770,3.0750000e-05,-3.0750000e-05,132.9387100,5.480000e-03,-5.480000e-03,1.22,5.000e-02,-6.000e-02,0.2360,0.2340,-0.2360,4.3430e+02,3.370e+01,-3.370e+01,2.23400,0.15600,-0.15600,0.018507,1.083000e-03,-9.820000e-04,16.040000,2.400000,-2.400000,14.60,236
K00003.01,CONFIRMED,K00003,10748390,1,9.174,0.8300,0.0200,-0.0470,0.7630,0.0280,-0.0280,0.42065576949672256,0.033399670077392196,-0.03991756300939209,4778.00,86.00,-95.00,0.3200,0.1500,-0.1500,4.591,0.015,-0.036,0.6441,0.0989,4.887803076,4.6600000e-07,-4.6600000e-07,124.8130808,7.510000e-05,-7.510000e-05,4.82,1.700e-01,-1.800e-01,0.0540,0.1450,-0.0540,4.3158e+03,6.100e+00,-6.100e+00,2.36255,0.00466,-0.00466,0.057823,3.510000e-04,-1.740000e-04,16.708400,0.091400,-0.091400,862.30,215
K00020.01,CONFIRMED,K00020,11804465,1,13.438,1.0930,0.1090,-0.0890,1.4150,0.2290,-0.2800,-0.2644978666459343,0.1308413266744467,-0.24035447542097482,5953.00,105.00,-129.00,0.0800,0.1500,-0.1500,4.175,0.168,-0.112,0.3589,0.2891,4.437962934,1.7100000e-07,-1.7100000e-07,171.0091259,2.880000e-05,-2.880000e-05,18.05,2.920e+00,-3.570e+00,0.0690,0.0070,-0.0500,1.6388e+04,5.300e+00,-5.300e+00,4.69813,0.00079,-0.00079,0.116814,4.400000e-05,-5.300000e-05,8.070200,0.057100,-0.057100,3535.60,238
K00179.01,CONFIRMED,K00179,9663113,2,13.955,1.1290,0.1060,-0.0770,1.2990,0.2310,-0.1730,-0.13898222030882562,0.14120966010293123,-0.14721760102191866,6226.00,112.00,-124.00,0.0000,0.1500,-0.1500,4.264,0.115,-0.115,0.3239,0.3029,20.740286450,2.9650000e-05,-2.9650000e-05,142.8000300,1.120000e-03,-1.120000e-03,4.24,7.500e-01,-5.700e-01,0.4310,0.0370,-0.3630,1.0233e+03,7.500e+00,-7.500e+00,10.39390,0.06260,-0.06260,0.029861,1.490000e-03,-4.560000e-04,14.280000,4.800000,-4.800000,155.30,52
K01593.01,CONFIRMED,K01593,5289854,2,15.809,1.0000,0.1170,-0.1300,0.9140,0.2740,-0.0910,0.26631270378379585,0.2157188804274059,-0.11411062281940546,5896.00,176.00,-194.00,-0.1000,0.3000,-0.3000,4.516,0.052,-0.208,0.3511,0.2889,9.695011460,4.6570000e-05,-4.6570000e-05,182.4541300,4.190000e-03,-4.190000e-03,2.08,6.300e-01,-2.000e-01,0.2930,0.1440,-0.2930,5.1520e+02,3.090e+01,-3.090e+01,2.75000,0.10300,-0.10300,0.020883,8.140000e-04,-8.580000e-04,26.350000,6.600000,-6.600000,18.30,106
K01593.02,CONFIRMED,K01593,5289854,2,15.809,1.0000,0.1170,-0.1300,0.9140,0.2740,-0.0910,0.26631270378379585,0.2157188804274059,-0.11411062281940546,5896.00,176.00,-194.00,-0.1000,0.3000,-0.3000,4.516,0.052,-0.208,0.3511,0.2889,15.382539400,1.1440000e-04,-1.1440000e-04,139.0764800,5.470000e-03,-5.470000e-03,2.14,6.400e-01,-2.200e-01,0.0150,0.4430,-0.0150,5.5050e+02,3.300e+01,-3.300e+01,3.81500,0.16200,-0.16200,0.021393,1.015000e-03,-7.430000e-04,31.470000,1.200000,-1.200000,18.40,65
K01595.01,CONFIRMED,K01595,10006581,1,14.904,0.9180,0.0720,-0.0390,1.1690,0.1830,-0.2030,-0.09144956129898779,0.12637110052261064,-0.20118245257983852,5509.00,82.00,-71.00,0.1400,0.1500,-0.1000,4.265,0.168,-0.112,0.4603,0.2291,40.109781700,1.4090000e-04,-1.4090000e-04,142.0822700,2.850000e-03,-2.850000e-03,3.11,4.800e-01,-5.400e-01,0.0160,0.4320,-0.0160,7.3200e+02,2.080e+01,-2.080e+01,5.20960,0.08690,-0.08690,0.024334,8.590000e-04,-4.380000e-04,60.240000,2.100000,-2.100000,40.30,34
K00191.03,CANDIDATE,K00191,5972334,4,14.991,0.8740,0.0550,-0.0460,0.8870,0.0900,-0.0670,0.24689186412451392,0.08653200710093878,-0.07832263319771787,5422.00,108.00,-108.00,0.0200,0.1500,-0.1500,4.484,0.063,-0.077,0.4526,0.2327,0.708621057,1.3570000e-06,-1.3570000e-06,133.3656500,1.660000e-03,-1.660000e-03,1.20,1.200e-01,-9.000e-02,0.0330,0.4680,-0.0330,1.8750e+02,7.300e+00,-7.300e+00,1.50410,0.05260,-0.05260,0.012345,6.310000e-04,-2.960000e-04,3.689000,0.305000,-0.305000,30.50,1324
