planet_name,disposition,koi_id,kic_id,npl,kep_mag,rstar,rstar_err1,rstar_err2,mstar,mstar_err1,mstar_err2,epoch,epoch_err1,epoch_err2,period,period_err1,period_err2,depth,depth_err1,depth_err2,duration,duration_err1,duration_err2
K00760.01,CANDIDATE,K00760,11138155,1,15.263,1.035,0.043,-0.04,1.041,0.054,-0.062,2455005.2590000001,8.2700000000000004E-5,-8.2700000000000004E-5,4.9593192439999996,5.1500000000000005E-7,-5.1500000000000005E-7,9802,20,-20,2.2273900000000002,7.4999999999999997E-3,-7.4999999999999997E-3
K00762.01,CONFIRMED,K00762,11153539,1,15.395,1.172,0.055,-0.051,1.057,0.075,-0.079,2455004.3489999999,3.0000000000000001E-3,-3.0000000000000001E-3,4.4987651099999999,1.7770000000000001E-5,-1.7770000000000001E-5,460,17.5,-17.5,3.7362000000000002,9.3399999999999997E-2,-9.3399999999999997E-2
K00115.01,CONFIRMED,K00115,9579641,3,12.791,1.023,0.021,-0.02,1.027,0.047,-0.06,2454966.1430000002,4.6799999999999999E-4,-4.6799999999999999E-4,5.4122039270000002,3.0520000000000002E-6,-3.0520000000000002E-6,601.60000000000002,4,-4,2.9472,0.024,-0.024
K00764.01,CONFIRMED,K00764,11304958,1,15.4,2.194,0.156,-0.151,1.093,0.096,-0.103,2455041.932,0.00142,-0.00142,41.43958662,7.5569999999999996E-5,-7.5569999999999996E-5,2793.0999999999999,22.600000000000001,-22.600000000000001,10.5989,8.7999999999999995E-2,-8.7999999999999995E-2
K00765.01,CONFIRMED,K00765,11391957,1,15.317,0.755,0.021,-0.02,0.803,0.034,-0.046,2455004.6329999999,0.00133,-0.00133,8.3538952299999991,0.00001524,-0.00001524,1041.5999999999999,28.199999999999999,-28.199999999999999,2.2513999999999998,5.1799999999999999E-2,-5.1799999999999999E-2
K00766.01,CONFIRMED,K00766,11403044,1,15.506,1.309,0.107,-0.098,1.097,0.08,-0.084,2455002.753,6.1300000000000005E-4,-6.1300000000000005E-4,4.1255434720000004,3.1329999999999999E-6,-3.1329999999999999E-6,1487.3,13.300000000000001,-13.300000000000001,3.1743999999999999,3.6200000000000003E-2,-3.6200000000000003E-2
K00767.01,CONFIRMED,K00767,11414511,1,15.052,0.953,0.027,-0.026,0.991,0.044,-0.057,2455003.9679999999,4.6600000000000001E-5,-4.6600000000000001E-5,2.8165049039999999,1.6500000000000001E-7,-1.6500000000000001E-7,16813.700000000001,11,-11,2.5058699999999998,6.6600000000000001E-3,-6.6600000000000001E-3
K00786.01,CONFIRMED,K00786,12110942,1,15.242,1.184,0.057,-0.054,1.039,0.076,-0.078,2455003.3659999999,0.00191,-0.00191,3.6899200990000001,8.9819999999999997E-6,-8.9819999999999997E-6,426.69999999999999,13.800000000000001,-13.800000000000001,2.6556999999999999,6.7699999999999996E-2,-6.7699999999999996E-2
K00787.01,CONFIRMED,K00787,12366084,3,15.367,1.09,0.051,-0.046,1.039,0.059,-0.064,2455004.0150000001,1.1100000000000001E-3,-1.1100000000000001E-3,4.431238488,6.1059999999999996E-6,-6.1059999999999996E-6,1010.9,15.199999999999999,-15.199999999999999,3.1499999999999999,4.2299999999999997E-2,-4.2299999999999997E-2
K00787.02,CONFIRMED,K00787,12366084,3,15.367,1.09,0.051,-0.046,1.039,0.059,-0.064,2454966.8500000001,0.00183,-0.00183,11.379369860000001,2.4150000000000001E-5,-2.4150000000000001E-5,1023.5,29.699999999999999,-29.699999999999999,2.6255000000000002,7.2999999999999995E-2,-7.2999999999999995E-2
K00788.01,CONFIRMED,K00788,12404086,1,15.234,0.791,0.02,-0.019,0.797,0.044,-0.043,2455009.0550000002,1.7600000000000001E-3,-1.7600000000000001E-3,26.39432897,5.7240000000000001E-5,-5.7240000000000001E-5,1510.9000000000001,36.299999999999997,-36.299999999999997,3.573,6.4299999999999996E-2,-6.4299999999999996E-2
K00116.01,CONFIRMED,K00116,8395660,4,12.882,1.036,0.024,-0.023,0.986,0.066,-0.068,2454969.2790000001,9.5699999999999995E-4,-9.5699999999999995E-4,13.570782810000001,1.5849999999999999E-5,-1.5849999999999999E-5,511.69999999999999,6.2999999999999998,-6.2999999999999998,3.3538999999999999,4.8899999999999999E-2,-4.8899999999999999E-2
K00115.02,CONFIRMED,K00115,9579641,3,12.791,1.023,0.021,-0.02,1.027,0.047,-0.06,2454972.0049999999,1.5900000000000001E-3,-1.5900000000000001E-3,7.1259438700000004,1.4059999999999999E-5,-1.4059999999999999E-5,192.40000000000001,4.4000000000000004,-4.4000000000000004,3.0013999999999998,3.8399999999999997E-2,-3.8399999999999997E-2
K00775.01,CONFIRMED,K00775,11754553,3,15.095,0.63,0.022,-0.025,0.624,0.017,-0.016,2455005.7280000001,0.00248,-0.00248,16.384899879999999,0.00005219,-0.00005219,1127.0999999999999,42,-42,3.0249000000000001,7.9799999999999996E-2,-7.9799999999999996E-2
K00775.02,CONFIRMED,K00775,11754553,3,15.095,0.63,0.022,-0.025,0.624,0.017,-0.016,2455009.3760000002,0.00147,-0.00147,7.8774163000000001,1.4929999999999999E-5,-1.4929999999999999E-5,1306.0999999999999,37.700000000000003,-37.700000000000003,2.0804999999999998,5.1700000000000003E-2,-5.1700000000000003E-2
K00775.03,CONFIRMED,K00775,11754553,3,15.095,0.63,0.022,-0.025,0.624,0.017,-0.016,2454984.6009999998,3.9199999999999999E-3,-3.9199999999999999E-3,36.445400100000001,1.8090000000000001E-4,-1.8090000000000001E-4,1122.3,53.399999999999999,-53.399999999999999,4.0069999999999997,0.126,-0.126
K00776.01,CONFIRMED,K00776,11812062,1,15.523,0.819,0.027,-0.025,0.851,0.043,-0.056,2455004.7930000001,0.000195,-0.000195,3.7287321470000001,9.3600000000000002E-7,-9.3600000000000002E-7,5226.5,18.5,-18.5,2.6829999999999998,3.5000000000000003E-2,-3.5000000000000003E-2
K00777.01,CANDIDATE,K00777,11818800,1,15.487,2.268,0.152,-0.142,1.121,0.096,-0.106,2455006.5649999999,2.2200000000000002E-3,-2.2200000000000002E-3,40.4195037,0.0001139,-0.0001139,6256,230,-230,3.3620000000000001,0.14000000000000001,-0.14000000000000001
K00778.01,CONFIRMED,K00778,11853255,1,15.135,0.611,0.023,-0.023,0.617,0.022,-0.021,2455003.679,8.9999999999999998E-4,-8.9999999999999998E-4,2.243380573,2.6699999999999998E-6,-2.6699999999999998E-6,821.70000000000005,25.600000000000001,-25.600000000000001,1.1195999999999999,3.8399999999999997E-2,-3.8399999999999997E-2
K00780.01,CONFIRMED,K00780,11918099,2,15.334,0.769,0.019,-0.019,0.782,0.038,-0.036,2455004.7620000001,6.5899999999999997E-4,-6.5899999999999997E-4,2.3374379460000001,0.000001951,-0.000001951,971.20000000000005,13.699999999999999,-13.699999999999999,1.9982,2.7099999999999999E-2,-2.7099999999999999E-2
K00780.02,CANDIDATE,K00780,11918099,2,15.334,0.769,0.019,-0.019,0.782,0.038,-0.036,2454970.7549999999,0.002,-0.002,7.2406611999999999,1.6169999999999999E-5,-1.6169999999999999E-5,556.39999999999998,44.100000000000001,-44.100000000000001,0.55800000000000005,0.17100000000000001,-0.17100000000000001
K00115.03,CANDIDATE,K00115,9579641,3,12.791,1.023,0.021,-0.02,1.027,0.047,-0.06,2454965.662,1.0999999999999999E-2,-1.0999999999999999E-2,3.4359163100000001,4.7290000000000003E-5,-4.7290000000000003E-5,23.199999999999999,3.3999999999999999,-3.3999999999999999,3.133,0.40699999999999997,-0.40699999999999997
K00781.01,CONFIRMED,K00781,11923270,1,15.937,0.558,0.015,-0.015,0.549,0.013,-0.013,2455013.395,9.2299999999999999E-4,-9.2299999999999999E-4,11.59822233,1.4070000000000001E-5,-1.4070000000000001E-5,2804.5,46.299999999999997,-46.299999999999997,2.5236999999999998,5.1999999999999998E-2,-5.1999999999999998E-2
K00782.01,CONFIRMED,K00782,11960862,1,15.312,1.613,0.098,-0.09,1.088,0.115,-0.081,2455006.6340000001,0.000455,-0.000455,6.5753158809999999,0.000003726,-0.000003726,2793.3000000000002,14.9,-14.9,4.3083999999999998,3.0599999999999999E-2,-3.0599999999999999E-2
K00783.01,CONFIRMED,K00783,12020329,1,15.08,1.897,0.101,-0.094,1.085,0.07,-0.072,2455002.9939999999,5.0699999999999996E-4,-5.0699999999999996E-4,7.2750408440000003,4.6770000000000003E-6,-4.6770000000000003E-6,3001,11.5,-11.5,7.5377000000000001,6.8099999999999994E-2,-6.8099999999999994E-2
K00784.01,CONFIRMED,K00784,12066335,2,15.385,0.57,0.023,-0.03,0.575,0.016,-0.019,2455019.7710000002,0.00182,-0.00182,19.271538920000001,4.1449999999999998E-5,-4.1449999999999998E-5,1219.8,35.299999999999997,-35.299999999999997,2.7593999999999999,5.5100000000000003E-2,-5.5100000000000003E-2
K00784.02,CONFIRMED,K00784,12066335,2,15.385,0.57,0.023,-0.03,0.575,0.016,-0.019,2454969.2889999999,1.1900000000000001E-3,-1.1900000000000001E-3,10.06524317,0.0000149,-0.0000149,1053.3,39.200000000000003,-39.200000000000003,1.369,3.9300000000000002E-2,-3.9300000000000002E-2
K00785.01,CONFIRMED,K00785,12070811,1,15.505,0.816,0.028,-0.027,0.827,0.046,-0.052,2455011.747,2.4499999999999999E-3,-2.4499999999999999E-3,12.3935651,3.9320000000000003E-5,-3.9320000000000003E-5,916.60000000000002,29.100000000000001,-29.100000000000001,3.8896000000000002,8.3400000000000002E-2,-8.3400000000000002E-2
K00116.02,CONFIRMED,K00116,8395660,4,12.882,1.036,0.024,-0.023,0.986,0.066,-0.068,2454984.9350000001,0.00192,-0.00192,43.844397209999997,9.6130000000000003E-5,-9.6130000000000003E-5,615.20000000000005,7.7000000000000002,-7.7000000000000002,6.8019999999999996,0.11899999999999999,-0.11899999999999999
K00799.01,CANDIDATE,K00799,3246984,1,15.279,1.519,0.108,-0.098,1.04,0.096,-0.079,2455002.8199999998,4.8700000000000002E-4,-4.8700000000000002E-4,1.626630225,0.000001015,-0.000001015,1620.5999999999999,19,-19,2.1145,2.8500000000000001E-2,-2.8500000000000001E-2
K00800.01,CONFIRMED,K00800,3342970,2,15.541,1.18,0.067,-0.062,1.158,0.061,-0.07,2455003.034,1.1100000000000001E-3,-1.1100000000000001E-3,2.7115040860000001,0.0000038,-0.0000038,837.5,14.5,-14.5,3.0099,4.2299999999999997E-2,-4.2299999999999997E-2
K00800.02,CONFIRMED,K00800,3342970,2,15.541,1.18,0.067,-0.062,1.158,0.061,-0.07,2455005.818,1.6299999999999999E-3,-1.6299999999999999E-3,7.2120374800000002,1.5529999999999999E-5,-1.5529999999999999E-5,950.39999999999998,19.5,-19.5,4.0491000000000001,5.8000000000000003E-2,-5.8000000000000003E-2
K00790.01,CONFIRMED,K00790,12470844,2,15.339,0.847,0.026,-0.025,0.839,0.052,-0.052,2455007.162,0.00149,-0.00149,8.4723791100000003,0.0000156,-0.0000156,1123.5,26.699999999999999,-26.699999999999999,2.7244999999999999,4.8399999999999999E-2,-4.8399999999999999E-2
K00790.02,CONFIRMED,K00790,12470844,2,15.339,0.847,0.026,-0.025,0.839,0.052,-0.052,2455014.1639999999,6.2500000000000003E-3,-6.2500000000000003E-3,60.418936899999999,5.0429999999999995E-4,-5.0429999999999995E-4,931.29999999999995,49.600000000000001,-49.600000000000001,5.0389999999999997,0.184,-0.184
K00791.01,CONFIRMED,K00791,12644822,1,15.14,1.827,0.105,-0.1,1.087,0.072,-0.072,2455013.892,4.1300000000000001E-4,-4.1300000000000001E-4,12.611904344999999,6.6499999999999999E-6,-6.6499999999999999E-6,6105.6000000000004,27.600000000000001,-27.600000000000001,5.1497000000000002,5.9200000000000003E-2,-5.9200000000000003E-2
K00794.01,CONFIRMED,K00794,2713049,1,15.026,1.004,0.038,-0.037,0.937,0.068,-0.065,2455002.6749999998,1.6000000000000001E-3,-1.6000000000000001E-3,2.5391831470000001,5.0730000000000004E-6,-5.0730000000000004E-6,382.10000000000002,11.4,-11.4,2.4281999999999999,5.5899999999999998E-2,-5.5899999999999998E-2
K00795.01,CONFIRMED,K00795,3114167,1,15.591,1.357,0.08,-0.076,0.973,0.076,-0.067,2455003.577,0.00108,-0.00108,6.7703003849999996,9.5370000000000003E-6,-9.5370000000000003E-6,1304,29.699999999999999,-29.699999999999999,2.0844,4.5400000000000003E-2,-4.5400000000000003E-2
K00797.01,CANDIDATE,K00797,3115833,1,15.657,0.836,0.234,-0.078,0.885,0.099,-0.099,2455010.142,4.8299999999999998E-4,-4.8299999999999998E-4,10.181584003999999,6.1879999999999999E-6,-6.1879999999999999E-6,5741.1000000000004,53.200000000000003,-53.200000000000003,3.5089000000000001,3.3099999999999997E-2,-3.3099999999999997E-2
K00812.02,CONFIRMED,K00812,4139816,4,15.954,0.566,0.02,-0.015,0.581,0.02,-0.019,2454980.466,2.4099999999999998E-3,-2.4099999999999998E-3,20.06036336,5.8390000000000002E-5,-5.8390000000000002E-5,1494.7,45.100000000000001,-45.100000000000001,3.3203,7.5399999999999995E-2,-7.5399999999999995E-2
K00812.03,CONFIRMED,K00812,4139816,4,15.954,0.566,0.02,-0.015,0.581,0.02,-0.019,2454998.2370000002,0.0043,-0.0043,46.1842039,0.0002654,-0.0002654,1394.7,56.399999999999999,-56.399999999999999,4.758,0.13,-0.13
K00116.04,CONFIRMED,K00116,8395660,4,12.882,1.036,0.024,-0.023,0.986,0.066,-0.068,2454980.537,6.4700000000000001E-3,-6.4700000000000001E-3,23.9800854,2.0029999999999999E-4,-2.0029999999999999E-4,104,6.5,-6.5,5.351,0.17699999999999999,-0.17699999999999999
K00812.04,CONFIRMED,K00812,4139816,4,15.954,0.566,0.02,-0.015,0.581,0.02,-0.019,2454969.5499999998,4.3600000000000002E-3,-4.3600000000000002E-3,7.8250216799999999,3.8899999999999997E-5,-3.8899999999999997E-5,520.79999999999995,36.399999999999999,-36.399999999999999,2.1859999999999999,0.12,-0.12
K00813.01,CONFIRMED,K00813,4275191,1,15.725,1.034,0.058,-0.054,0.936,0.073,-0.07,2455003.5279999999,1.5699999999999999E-4,-1.5699999999999999E-4,3.8959365250000002,7.7100000000000001E-7,-7.7100000000000001E-7,8544.7999999999993,29.5,-29.5,2.3111000000000002,3.0200000000000001E-2,-3.0200000000000001E-2
K00814.01,CONFIRMED,K00814,4476123,1,15.583,0.963,0.048,-0.044,0.862,0.061,-0.046,2455008.4589999998,3.5400000000000002E-3,-3.5400000000000002E-3,22.366464659999998,9.7609999999999995E-5,-9.7609999999999995E-5,986.79999999999995,35.100000000000001,-35.100000000000001,5.2279999999999998,0.122,-0.122
K00801.01,CONFIRMED,K00801,3351888,1,15.001,0.972,0.034,-0.032,1.029,0.042,-0.05,2455003.827,7.6100000000000007E-5,-7.6100000000000007E-5,1.6255221740000001,1.5800000000000001E-7,-1.5800000000000001E-7,7969,11.800000000000001,-11.800000000000001,2.3896299999999999,3.3800000000000002E-3,-3.3800000000000002E-3
K00802.01,CANDIDATE,K00802,3453214,1,15.562,0.941,0.044,-0.042,0.935,0.057,-0.061,2455014.8820000002,1.4799999999999999E-4,-1.4799999999999999E-4,19.620346923,3.7299999999999999E-6,-3.7299999999999999E-6,21724.599999999999,85,-85,2.0038,0.0292,-0.0292
K00804.01,CANDIDATE,K00804,3641726,1,15.387,0.89,0.028,-0.026,0.912,0.049,-0.057,2455010.2039999999,0.00142,-0.00142,9.0293068900000009,1.6480000000000001E-5,-1.6480000000000001E-5,1019.8,21.899999999999999,-21.899999999999999,3.1448999999999998,0.0528,-0.0528
K00806.01,CONFIRMED,K00806,3832474,3,15.403,0.856,0.029,-0.027,0.912,0.039,-0.042,2454987.236,1.2999999999999999E-3,-1.2999999999999999E-3,143.2063047,2.3479999999999999E-4,-2.3479999999999999E-4,10565.700000000001,82.400000000000006,-82.400000000000006,8.9301999999999992,9.6100000000000005E-2,-9.6100000000000005E-2
K00116.03,CONFIRMED,K00116,8395660,4,12.882,1.036,0.024,-0.023,0.986,0.066,-0.068,2454968.639,6.6100000000000004E-3,-6.6100000000000004E-3,6.1648759999999996,4.6350000000000002E-5,-4.6350000000000002E-5,55.799999999999997,4.2999999999999998,-4.2999999999999998,3.262,0.186,-0.186
K00806.02,CONFIRMED,K00806,3832474,3,15.403,0.856,0.029,-0.027,0.912,0.039,-0.042,2455076.8930000002,4.2299999999999998E-4,-4.2299999999999998E-4,60.324942159999999,3.2070000000000003E-5,-3.2070000000000003E-5,20280.400000000001,64,-64,6.6188000000000002,0.0327,-0.0327
K00806.03,CONFIRMED,K00806,3832474,3,15.403,0.856,0.029,-0.027,0.912,0.039,-0.042,2454983.699,7.1799999999999998E-3,-7.1799999999999998E-3,29.159861500000002,2.5339999999999998E-4,-2.5339999999999998E-4,488,43.5,-43.5,4.8029999999999999,0.20000000000000001,-0.20000000000000001
K00809.01,CONFIRMED,K00809,3935914,1,15.53,1.11,0.059,-0.055,1.028,0.073,-0.078,2455003.648,5.7899999999999998E-5,-5.7899999999999998E-5,1.5947453739999999,1.1300000000000001E-7,-1.1300000000000001E-7,15044.5,20.300000000000001,-20.300000000000001,1.9603999999999999,0.0106,-0.0106
K00810.01,CANDIDATE,K00810,3940418,1,15.119,0.743,0.018,-0.018,0.782,0.034,-0.048,2455003.5079999999,9.4300000000000004E-4,-9.4300000000000004E-4,4.7830026979999998,5.4319999999999998E-6,-5.4319999999999998E-6,1008.7,16.600000000000001,-16.600000000000001,2.335,0.0332,-0.0332
K00811.01,CONFIRMED,K00811,4049131,1,15.398,0.736,0.018,-0.018,0.758,0.036,-0.04,2455014.4339999999,1.2199999999999999E-3,-1.2199999999999999E-3,20.505889209999999,3.2060000000000001E-5,-3.2060000000000001E-5,2105.5,31,-31,4.0594999999999999,4.8099999999999997E-2,-4.8099999999999997E-2
K00812.01,CONFIRMED,K00812,4139816,4,15.954,0.566,0.02,-0.015,0.581,0.02,-0.019,2455004.9789999998,7.5000000000000002E-4,-7.5000000000000002E-4,3.3402188420000001,3.1769999999999998E-6,-3.1769999999999998E-6,1632.5999999999999,26.600000000000001,-26.600000000000001,1.9104000000000001,3.1800000000000002E-2,-3.1800000000000002E-2
K00829.01,CONFIRMED,K00829,5358241,3,15.386,1.084,0.06,-0.057,0.924,0.068,-0.062,2455007.7710000002,2.2399999999999998E-3,-2.2399999999999998E-3,18.649327280000001,0.00005202,-0.00005202,893.60000000000002,20.899999999999999,-20.899999999999999,4.4055999999999997,6.8699999999999997E-2,-6.8699999999999997E-2
K00117.02,CONFIRMED,K00117,10875245,4,12.487,1.437,0.032,-0.032,1.245,0.047,-0.06,2454971.605,0.00175,-0.00175,4.9014497600000002,1.0699999999999999E-5,-1.0699999999999999E-5,140.69999999999999,2.8999999999999999,-2.8999999999999999,4.1654,5.8500000000000003E-2,-5.8500000000000003E-2
K00829.02,CONFIRMED,K00829,5358241,3,15.386,1.084,0.06,-0.057,0.924,0.068,-0.062,2454971.7859999998,3.5999999999999999E-3,-3.5999999999999999E-3,9.7519210100000002,0.00004829,-0.00004829,418,16.199999999999999,-16.199999999999999,4.7930000000000001,0.18099999999999999,-0.18099999999999999
K00829.03,CONFIRMED,K00829,5358241,3,15.386,1.084,0.06,-0.057,0.924,0.068,-0.062,2454996.8509999998,4.0699999999999998E-3,-4.0699999999999998E-3,38.557654599999999,1.7650000000000001E-4,-1.7650000000000001E-4,993,26.800000000000001,-26.800000000000001,5.7939999999999996,0.19900000000000001,-0.19900000000000001
