tid,toi,toidisplay,toipfx,ctoi_alias,pl_pnum,tfopwg_disp,st_tmag,st_tmagerr1,st_tmagerr2,st_tmagsymerr,st_tmaglim,rastr,ra,raerr1,raerr2,rasymerr,decstr,dec,decerr1,decerr2,decsymerr,st_pmra,st_pmraerr1,st_pmraerr2,st_pmrasymerr,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdecsymerr,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidsymerr,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbpersymerr,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhsymerr,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandepsymerr,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radesymerr,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insolsymerr,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtsymerr,pl_eqtlim,st_dist,st_disterr1,st_disterr2,st_distsymerr,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_teffsymerr,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_loggsymerr,st_logglim,st_rad,st_raderr1,st_raderr2,st_radsymerr,st_radlim,sectors,toi_created,rowupdate,release_date
234832821,"2590.01","TOI-2590.01","2590","234832821.01",1,"PC",9.4735100,0.006,-0.006,1,0,"06h31m12.1s",97.8004080,,,,"+03d28m13.75s",3.4704860,,,,-3.2760000,0.081,-0.081,1,0,-13.5540000,0.077,-0.077,1,0,2459226.4582350,0.002904,-0.002904,1,0,0.7460577,0.0000054,-0.0000054,1,0,1.7540000,0.3340000,-0.3340000,1,0,240.0000000,0.8191840,-0.8191840,1,0,1.7772500,0.1389150,-0.1389150,1,0,6994.6100000,,,,,2547.0000000,,,,,139.1510000,0.9090000,-0.9090000,1,0,6162.0000000,129.2000000,-129.2000000,1,0,4.4000000,0.0800000,-0.0800000,1,0,1.1300000,0.0500000,-0.0500000,1,0,,"2021-04-07 21:46:03","2023-02-01 12:02:43","2026-02-20 11:39:24"
264544388,"1893.01","TOI-1893.01","1893","264544388.01",1,"PC",8.4338900,0.006,-0.006,1,0,"21h45m45.21s",326.4383920,,,,"+79d36m50.18s",79.6139390,,,,23.5000000,0.045,-0.045,1,0,18.4870000,0.047,-0.047,1,0,2458824.8614860,0.011409,-0.011409,1,0,,,,1,0,16.2000201,0.8547269,-0.8547269,1,0,560.4004393,63.8369000,-63.8369000,1,0,3.9646898,0.2961185,-0.2961185,1,0,95.4170227,,,,,797.1246051,,,,,134.9120000,0.4745000,-0.4745000,1,0,6996.0000000,129.4790000,-129.4790000,1,0,4.2954200,0.0844643,-0.0844643,1,0,1.4615100,0.0554825,-0.0554825,1,0,,"2020-05-29 16:46:26","2021-10-29 12:59:15","2026-02-20 11:39:24"
280865159,"1894.01","TOI-1894.01","1894","280865159.01",1,"PC",10.7519000,0.021,-0.021,1,0,"06h43m11.66s",100.7985910,,,,"-78d16m51.94s",-78.2810940,,,,39.2300000,2.000,-2.000,1,0,56.8700000,2.000,-2.000,1,0,2458387.0729710,0.006884,-0.006884,1,0,739.2389832,0.0094750,-0.0094750,1,0,19.1259714,0.6023325,-0.6023325,1,0,3106.7675633,103.0698800,-103.0698800,1,0,6.2876421,0.2443085,-0.2443085,1,0,0.3623530,,,,,197.8803761,,,,,178.3720000,,,1,0,5611.0000000,187.0000000,-187.0000000,1,0,4.3771800,2.0039300,-2.0039300,1,0,1.0692000,,,1,0,,"2020-05-29 16:46:26","2025-08-12 12:03:45","2026-02-20 11:39:24"
384159646,"1895.01","TOI-1895.01","1895","384159646.01",1,"PC",9.7556000,0.006,-0.006,1,0,"16h14m51.23s",243.7134590,,,,"-81d40m50.15s",-81.6805970,,,,-17.5070000,0.044,-0.044,1,0,-31.8010000,0.048,-0.048,1,0,2459362.9343190,0.001513,-0.001513,1,0,748.0739416,0.0011631,-0.0011631,1,0,5.0652033,0.0859978,-0.0859978,1,0,4627.3105593,111.2897640,-111.2897640,1,0,9.5710516,0.4543167,-0.4543167,1,0,1.0296947,,,,,256.9193800,,,,,206.2290000,1.1880000,-1.1880000,1,0,6762.0000000,202.0000000,-202.0000000,1,0,4.3903100,0.3771450,-0.3771450,1,0,1.3738700,0.0567035,-0.0567035,1,0,,"2020-05-29 16:46:26","2025-07-22 12:04:25","2026-02-20 11:39:24"
174302697,"1896.01","TOI-1896.01","1896","174302697.01",1,"PC",8.8837400,0.006,-0.006,1,0,"23h28m42.87s",352.1786100,,,,"+47d20m58.28s",47.3495210,,,,56.9570000,0.046,-0.046,1,0,0.3650000,0.042,-0.042,1,0,2458743.7270140,0.002370,-0.002370,1,0,,,,1,0,16.1046282,0.1695951,-0.1695951,1,0,2816.5224185,115.8521900,-115.8521900,1,0,8.9556287,0.4354708,-0.4354708,1,0,254.6407802,,,,,1018.8300331,,,,,169.8510000,0.9140000,-0.9140000,1,0,6750.0000000,178.8760000,-178.8760000,1,0,4.1856900,0.0924767,-0.0924767,1,0,1.6057200,0.0682312,-0.0682312,1,0,,"2020-05-29 16:46:26","2021-10-29 12:59:15","2026-02-20 11:39:24"
420645189,"1897.01","TOI-1897.01","1897","420645189.01",1,"FP",10.1374000,0.006,-0.006,1,0,"03h13m28.9s",48.3704220,,,,"+75d16m06.16s",75.2683790,,,,48.2900000,0.042,-0.042,1,0,14.6170000,0.056,-0.056,1,0,2459000.9999180,0.000253,-0.000253,1,0,48.5340395,0.0003159,-0.0003159,1,0,6.6610000,0.0330000,-0.0330000,1,0,62170.0000000,0.9952120,-0.9952120,1,0,26.8270000,1.2422700,-1.2422700,1,0,0.0730269,,,,,144.0000000,,,,,158.4930000,0.8355000,-0.8355000,1,0,5937.0000000,142.2400000,-142.2400000,1,0,4.4485500,0.0775541,-0.0775541,1,0,1.0300000,0.0500000,-0.0500000,1,0,,"2020-05-29 16:46:26","2024-09-18 10:08:02","2026-02-20 11:39:24"
420645189,"1897.02","TOI-1897.02","1897","420645189.02",2,"FP",10.1374000,0.006,-0.006,1,0,"03h13m28.9s",48.3704220,,,,"+75d16m06.16s",75.2683790,,,,48.2900000,0.042,-0.042,1,0,14.6170000,0.056,-0.056,1,0,2458837.4766980,0.001618,-0.001618,1,0,48.5338626,0.0021795,-0.0021795,1,0,6.1370000,0.5900000,-0.5900000,1,0,4730.0000000,3.1286000,-3.1286000,1,0,7.9008000,0.4156990,-0.4156990,1,0,2.2453000,,,,,341.0000000,,,,,158.4930000,0.8355000,-0.8355000,1,0,5937.0000000,142.2400000,-142.2400000,1,0,4.4485500,0.0775541,-0.0775541,1,0,1.0300000,0.0500000,-0.0500000,1,0,,"2020-10-07 20:11:14","2024-09-18 10:08:02","2026-02-20 11:39:24"
91987762,"1898.01","TOI-1898.01","1898","91987762.01",1,"CP",7.4098000,0.006,-0.006,1,0,"09h38m13.27s",144.5553000,,,,"+23d32m48.29s",23.5467460,,,,-64.4330000,0.106,-0.106,1,0,-41.4850000,0.093,-0.093,1,0,2459531.5640330,0.000456,-0.000456,1,0,45.5221456,0.0000476,-0.0000476,1,0,4.3839392,0.0415654,-0.0415654,1,0,3028.5453279,26.9496300,-26.9496300,1,0,9.7055757,0.4855426,-0.4855426,1,0,51.0073705,,,,,681.5974916,,,,,79.6682000,0.4400000,-0.4400000,1,0,6303.9100000,141.8110000,-141.8110000,1,0,4.1176500,0.0924486,-0.0924486,1,0,1.6103400,0.0795980,-0.0795980,1,0,,"2020-05-29 16:46:26","2024-09-17 10:08:02","2026-02-20 11:39:24"
172370679,"1899.01","TOI-1899.01","1899","172370679.01",1,"CP",12.5826000,0.007,-0.007,1,0,"19h57m42.44s",299.4268470,,,,"+40d08m36.05s",40.1433460,,,,35.4270000,0.025,-0.025,1,0,18.8280000,0.029,-0.029,1,0,2459439.2152540,0.012872,-0.012872,1,0,29.0902271,0.0000739,-0.0000739,1,0,4.6769826,0.1087643,-0.1087643,1,0,37562.3332736,656.5121500,-656.5121500,1,0,12.1826517,0.4129190,-0.4129190,1,0,2.6006010,,,,,323.8830195,,,,,128.4380000,0.2500000,-0.2500000,1,0,3854.0000000,157.0000000,-157.0000000,1,0,4.6361900,0.0110121,-0.0110121,1,0,0.6178630,0.0181815,-0.0181815,1,0,,"2020-05-29 16:46:26","2022-10-11 16:02:02","2026-02-20 11:39:24"
166739520,"190.01","TOI-190.01","190","166739520.01",1,"KP",9.6411000,0.006,-0.006,1,0,"02h27m06.19s",36.7758110,,,,"-50d17m03.93s",-50.2844250,,,,59.9580000,0.038,-0.038,1,0,24.7430000,0.036,-0.036,1,0,2458357.5718110,0.000232,-0.000232,1,0,10.0205981,0.0000028,-0.0000028,1,0,5.8508462,0.0249241,-0.0249241,1,0,8240.0214463,33.3158260,-33.3158260,1,0,11.9443779,0.5497768,-0.5497768,1,0,211.7917007,,,,,972.9644761,,,,,157.9630000,0.6340000,-0.6340000,1,0,6038.0000000,,,1,0,4.3551300,,,1,0,1.2752700,0.0584674,-0.0584674,1,0,,"2018-12-20 17:24:11","2026-01-26 16:00:01","2026-02-20 11:39:24"
